"full_barcode","patient_id","sample_type_label"
"TCGA-A8-A09E-01A-11R-A00Z-07","TCGA-A8-A09E","Primary Tumor"
"TCGA-A7-A0DC-01A-11R-A00Z-07","TCGA-A7-A0DC","Primary Tumor"
"TCGA-A7-A0DC-11A-41R-A089-07","TCGA-A7-A0DC","Solid Tissue Normal"
"TCGA-A7-A0DC-01B-04R-A22O-07","TCGA-A7-A0DC","Primary Tumor"
"TCGA-A8-A08F-01A-11R-A00Z-07","TCGA-A8-A08F","Primary Tumor"
"TCGA-A8-A091-01A-11R-A00Z-07","TCGA-A8-A091","Primary Tumor"
"TCGA-GI-A2C8-11A-22R-A16F-07","TCGA-GI-A2C8","Solid Tissue Normal"
"TCGA-E2-A1L7-11A-33R-A144-07","TCGA-E2-A1L7","Solid Tissue Normal"
"TCGA-AO-A0JI-01A-21R-A056-07","TCGA-AO-A0JI","Primary Tumor"
"TCGA-A2-A0D4-01A-11R-A00Z-07","TCGA-A2-A0D4","Primary Tumor"
"TCGA-AC-A62V-01A-11R-A31O-07","TCGA-AC-A62V","Primary Tumor"
"TCGA-D8-A1XB-01A-11R-A14D-07","TCGA-D8-A1XB","Primary Tumor"
"TCGA-OL-A6VQ-01A-12R-A41B-07","TCGA-OL-A6VQ","Primary Tumor"
"TCGA-B6-A0WV-01A-11R-A109-07","TCGA-B6-A0WV","Primary Tumor"
"TCGA-LL-A442-01A-11R-A24H-07","TCGA-LL-A442","Primary Tumor"
"TCGA-E9-A22G-01A-11R-A157-07","TCGA-E9-A22G","Primary Tumor"
"TCGA-PE-A5DC-01A-12R-A27Q-07","TCGA-PE-A5DC","Primary Tumor"
"TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-A2-A0EP","Primary Tumor"
"TCGA-AN-A0AK-01A-21R-A00Z-07","TCGA-AN-A0AK","Primary Tumor"
"TCGA-BH-A28Q-01A-11R-A16F-07","TCGA-BH-A28Q","Primary Tumor"
"TCGA-A2-A259-01A-11R-A16F-07","TCGA-A2-A259","Primary Tumor"
"TCGA-AC-A2FF-01A-11R-A17B-07","TCGA-AC-A2FF","Primary Tumor"
"TCGA-AC-A2FG-01A-11R-A17B-07","TCGA-AC-A2FG","Primary Tumor"
"TCGA-BH-A0B0-01A-21R-A115-07","TCGA-BH-A0B0","Primary Tumor"
"TCGA-AO-A0JD-01A-11R-A056-07","TCGA-AO-A0JD","Primary Tumor"
"TCGA-AO-A128-01A-11R-A10J-07","TCGA-AO-A128","Primary Tumor"
"TCGA-BH-A1FE-01A-11R-A13Q-07","TCGA-BH-A1FE","Primary Tumor"
"TCGA-BH-A0BM-01A-11R-A056-07","TCGA-BH-A0BM","Primary Tumor"
"TCGA-AN-A0FZ-01A-11R-A034-07","TCGA-AN-A0FZ","Primary Tumor"
"TCGA-BH-A1FE-11B-14R-A13Q-07","TCGA-BH-A1FE","Solid Tissue Normal"
"TCGA-A8-A07F-01A-11R-A00Z-07","TCGA-A8-A07F","Primary Tumor"
"TCGA-A2-A0EO-01A-11R-A034-07","TCGA-A2-A0EO","Primary Tumor"
"TCGA-A1-A0SP-01A-11R-A084-07","TCGA-A1-A0SP","Primary Tumor"
"TCGA-BH-A1F8-11B-21R-A13Q-07","TCGA-BH-A1F8","Solid Tissue Normal"
"TCGA-A2-A3XT-01A-11R-A22U-07","TCGA-A2-A3XT","Primary Tumor"
"TCGA-BH-A5J0-01A-11R-A27Q-07","TCGA-BH-A5J0","Primary Tumor"
"TCGA-A8-A08I-01A-11R-A00Z-07","TCGA-A8-A08I","Primary Tumor"
"TCGA-A7-A26F-01A-21R-A169-07","TCGA-A7-A26F","Primary Tumor"
"TCGA-AR-A255-01A-11R-A169-07","TCGA-AR-A255","Primary Tumor"
"TCGA-AO-A0J8-01A-21R-A034-07","TCGA-AO-A0J8","Primary Tumor"
"TCGA-C8-A278-01A-11R-A169-07","TCGA-C8-A278","Primary Tumor"
"TCGA-AC-A3W7-01A-11R-A22K-07","TCGA-AC-A3W7","Primary Tumor"
"TCGA-B6-A0IE-01A-11R-A034-07","TCGA-B6-A0IE","Primary Tumor"
"TCGA-UL-AAZ6-01A-11R-A41B-07","TCGA-UL-AAZ6","Primary Tumor"
"TCGA-A2-A0CL-01A-11R-A115-07","TCGA-A2-A0CL","Primary Tumor"
"TCGA-BH-A6R8-01A-21R-A33J-07","TCGA-BH-A6R8","Primary Tumor"
"TCGA-AC-A23E-01A-11R-A157-07","TCGA-AC-A23E","Primary Tumor"
"TCGA-AC-A3HN-01A-11R-A213-07","TCGA-AC-A3HN","Primary Tumor"
"TCGA-E2-A108-01A-13R-A10J-07","TCGA-E2-A108","Primary Tumor"
"TCGA-3C-AALK-01A-11R-A41B-07","TCGA-3C-AALK","Primary Tumor"
"TCGA-BH-A0DP-11A-12R-A089-07","TCGA-BH-A0DP","Solid Tissue Normal"
"TCGA-AO-A0J9-01A-11R-A034-07","TCGA-AO-A0J9","Primary Tumor"
"TCGA-A7-A26G-01A-21R-A169-07","TCGA-A7-A26G","Primary Tumor"
"TCGA-E2-A1IJ-01A-11R-A144-07","TCGA-E2-A1IJ","Primary Tumor"
"TCGA-BH-A0B4-01A-11R-A00Z-07","TCGA-BH-A0B4","Primary Tumor"
