"full_barcode","library_size"
"TCGA-3C-AAAU-01A-11R-A41B-07",56714504
"TCGA-3C-AALI-01A-11R-A41B-07",37595179
"TCGA-3C-AALJ-01A-31R-A41B-07",22598154
"TCGA-3C-AALK-01A-11R-A41B-07",52725445
"TCGA-4H-AAAK-01A-12R-A41B-07",47412261
"TCGA-5L-AAT0-01A-12R-A41B-07",34214129
"TCGA-5L-AAT1-01A-12R-A41B-07",24260663
"TCGA-5T-A9QA-01A-11R-A41B-07",33575287
"TCGA-A1-A0SB-01A-11R-A144-07",47572949
"TCGA-A1-A0SD-01A-11R-A115-07",60545003
"TCGA-A1-A0SE-01A-11R-A084-07",61032351
"TCGA-A1-A0SF-01A-11R-A144-07",48818918
"TCGA-A1-A0SG-01A-11R-A144-07",56402921
"TCGA-A1-A0SH-01A-11R-A084-07",68534939
"TCGA-A1-A0SI-01A-11R-A144-07",73332059
"TCGA-A1-A0SJ-01A-11R-A084-07",57652735
"TCGA-A1-A0SK-01A-12R-A084-07",62522284
"TCGA-A1-A0SM-01A-11R-A084-07",70807157
"TCGA-A1-A0SN-01A-11R-A144-07",64898052
"TCGA-A1-A0SO-01A-22R-A084-07",68315834
"TCGA-A1-A0SP-01A-11R-A084-07",57792424
"TCGA-A1-A0SQ-01A-21R-A144-07",54194106
"TCGA-A2-A04N-01A-11R-A115-07",54425632
"TCGA-A2-A04P-01A-31R-A034-07",54082305
"TCGA-A2-A04Q-01A-21R-A034-07",60723944
"TCGA-A2-A04R-01A-41R-A109-07",58611514
"TCGA-A2-A04T-01A-21R-A034-07",64000742
"TCGA-A2-A04U-01A-11R-A115-07",41130369
"TCGA-A2-A04V-01A-21R-A034-07",59504695
"TCGA-A2-A04W-01A-31R-A115-07",45457326
"TCGA-A2-A04X-01A-21R-A034-07",64428687
"TCGA-A2-A04Y-01A-21R-A034-07",79706479
"TCGA-A2-A0CK-01A-11R-A22K-07",51566012
"TCGA-A2-A0CL-01A-11R-A115-07",53431954
"TCGA-A2-A0CM-01A-31R-A034-07",43421498
"TCGA-A2-A0CO-01A-13R-A22K-07",50632123
"TCGA-A2-A0CP-01A-11R-A034-07",35471096
"TCGA-A2-A0CQ-01A-21R-A034-07",64038679
"TCGA-A2-A0CR-01A-11R-A22K-07",53114902
"TCGA-A2-A0CS-01A-11R-A115-07",45018931
"TCGA-A2-A0CT-01A-31R-A056-07",47345752
"TCGA-A2-A0CU-01A-12R-A034-07",59160708
"TCGA-A2-A0CV-01A-31R-A115-07",71545464
"TCGA-A2-A0CW-01A-21R-A115-07",66976080
"TCGA-A2-A0CX-01A-21R-A00Z-07",56299736
"TCGA-A2-A0CY-01A-12R-A034-07",46844589
"TCGA-A2-A0CZ-01A-11R-A034-07",52285814
"TCGA-A2-A0D0-01A-11R-A00Z-07",52810562
"TCGA-A2-A0D1-01A-11R-A034-07",50285814
"TCGA-A2-A0D2-01A-21R-A034-07",54762380
"TCGA-A2-A0D3-01A-11R-A115-07",60502468
"TCGA-A2-A0D4-01A-11R-A00Z-07",79449540
"TCGA-A2-A0EM-01A-11R-A034-07",57943076
"TCGA-A2-A0EN-01A-13R-A084-07",69565162
"TCGA-A2-A0EO-01A-11R-A034-07",63553670
"TCGA-A2-A0EP-01A-52R-A22U-07",66228201
"TCGA-A2-A0EQ-01A-11R-A034-07",55775792
"TCGA-A2-A0ER-01A-21R-A034-07",74753683
"TCGA-A2-A0ES-01A-11R-A115-07",54528716
"TCGA-A2-A0ET-01A-31R-A034-07",69715661
"TCGA-A2-A0EU-01A-22R-A056-07",49547490
"TCGA-A2-A0EV-01A-11R-A034-07",58974460
"TCGA-A2-A0EW-01A-21R-A115-07",56525124
"TCGA-A2-A0EX-01A-21R-A034-07",50589874
"TCGA-A2-A0EY-01A-11R-A034-07",57558901
"TCGA-A2-A0ST-01A-12R-A084-07",52351045
"TCGA-A2-A0SU-01A-11R-A084-07",48305959
"TCGA-A2-A0SV-01A-11R-A084-07",75304514
"TCGA-A2-A0SW-01A-11R-A084-07",53689289
"TCGA-A2-A0SX-01A-12R-A084-07",65036717
"TCGA-A2-A0SY-01A-31R-A084-07",62804204
"TCGA-A2-A0T0-01A-22R-A084-07",64043789
"TCGA-A2-A0T1-01A-21R-A084-07",64760960
"TCGA-A2-A0T2-01A-11R-A084-07",53545972
"TCGA-A2-A0T3-01A-21R-A115-07",62142222
"TCGA-A2-A0T4-01A-31R-A084-07",42272243
"TCGA-A2-A0T5-01A-21R-A084-07",57672257
"TCGA-A2-A0T6-01A-11R-A084-07",68353372
"TCGA-A2-A0T7-01A-21R-A084-07",68593062
"TCGA-A2-A0YC-01A-11R-A109-07",70374990
"TCGA-A2-A0YD-01A-11R-A109-07",62120846
"TCGA-A2-A0YE-01A-11R-A109-07",62232052
"TCGA-A2-A0YF-01A-21R-A109-07",72856963
"TCGA-A2-A0YG-01A-21R-A109-07",60818812
"TCGA-A2-A0YH-01A-11R-A109-07",58153313
"TCGA-A2-A0YI-01A-31R-A10J-07",71061278
"TCGA-A2-A0YJ-01A-11R-A109-07",50427050
"TCGA-A2-A0YK-01A-22R-A109-07",56039320
"TCGA-A2-A0YL-01A-21R-A109-07",60650394
"TCGA-A2-A0YM-01A-11R-A109-07",66146931
"TCGA-A2-A0YT-01A-11R-A109-07",72080914
"TCGA-A2-A1FV-01A-11R-A13Q-07",73581768
"TCGA-A2-A1FW-01A-11R-A13Q-07",71052453
"TCGA-A2-A1FX-01A-11R-A13Q-07",70947566
"TCGA-A2-A1FZ-01A-51R-A14D-07",47386581
"TCGA-A2-A1G0-01A-11R-A13Q-07",63892281
"TCGA-A2-A1G1-01A-21R-A13Q-07",81200612
"TCGA-A2-A1G4-01A-11R-A13Q-07",77591883
"TCGA-A2-A1G6-01A-11R-A13Q-07",57126023
"TCGA-A2-A259-01A-11R-A16F-07",65817243
"TCGA-A2-A25A-01A-12R-A16F-07",90737223
"TCGA-A2-A25B-01A-11R-A169-07",61063521
"TCGA-A2-A25C-01A-11R-A169-07",91034379
"TCGA-A2-A25D-01A-12R-A16F-07",62775655
"TCGA-A2-A25E-01A-11R-A169-07",63066876
"TCGA-A2-A25F-01A-11R-A169-07",83298963
"TCGA-A2-A3KC-01A-11R-A213-07",54008566
"TCGA-A2-A3KD-01A-12R-A213-07",67294263
"TCGA-A2-A3XS-01A-11R-A22U-07",62143200
"TCGA-A2-A3XT-01A-11R-A22U-07",66960414
"TCGA-A2-A3XU-01A-12R-A22U-07",60005261
"TCGA-A2-A3XV-01A-21R-A239-07",62023062
"TCGA-A2-A3XW-01A-11R-A239-07",63764846
"TCGA-A2-A3XX-01A-21R-A239-07",62551616
"TCGA-A2-A3XY-01A-11R-A239-07",78023832
"TCGA-A2-A3XZ-01A-42R-A239-07",60033203
"TCGA-A2-A3Y0-01A-11R-A239-07",64137590
"TCGA-A2-A4RW-01A-21R-A266-07",32124463
"TCGA-A2-A4RX-01A-11R-A266-07",34110553
"TCGA-A2-A4RY-01A-31R-A266-07",38594290
"TCGA-A2-A4S0-01A-21R-A266-07",37267785
"TCGA-A2-A4S1-01A-21R-A266-07",34033941
"TCGA-A2-A4S2-01A-12R-A266-07",38009971
"TCGA-A2-A4S3-01A-21R-A266-07",36272647
"TCGA-A7-A0CD-01A-11R-A00Z-07",70173533
"TCGA-A7-A0CE-01A-11R-A00Z-07",61510275
"TCGA-A7-A0CG-01A-12R-A056-07",55096274
"TCGA-A7-A0CH-01A-21R-A00Z-07",45519597
"TCGA-A7-A0CJ-01A-21R-A00Z-07",51590391
"TCGA-A7-A0D9-01A-31R-A056-07",53355967
"TCGA-A7-A0DA-01A-31R-A115-07",63240518
"TCGA-A7-A0DB-01A-11R-A00Z-07",59280875
"TCGA-A7-A0DC-01A-11R-A00Z-07",62493632
"TCGA-A7-A13D-01A-13R-A12P-07",57793033
"TCGA-A7-A13E-01A-11R-A12P-07",47115930
"TCGA-A7-A13F-01A-11R-A12P-07",52677713
"TCGA-A7-A13G-01A-11R-A13Q-07",68478660
"TCGA-A7-A13H-01A-11R-A22K-07",59738567
"TCGA-A7-A26E-01A-11R-A169-07",78826665
"TCGA-A7-A26F-01A-21R-A169-07",76605936
"TCGA-A7-A26G-01A-21R-A169-07",86981112
"TCGA-A7-A26H-01A-11R-A169-07",85977044
"TCGA-A7-A26I-01A-11R-A169-07",94576865
"TCGA-A7-A26J-01A-11R-A169-07",71870927
"TCGA-A7-A2KD-01A-31R-A21T-07",73821462
"TCGA-A7-A3IY-01A-21R-A21T-07",57953467
"TCGA-A7-A3IZ-01A-11R-A213-07",58717371
"TCGA-A7-A3J0-01A-11R-A213-07",79520589
"TCGA-A7-A3J1-01A-11R-A213-07",73003295
"TCGA-A7-A3RF-01A-11R-A22K-07",65187405
"TCGA-A7-A425-01A-11R-A24H-07",54058224
"TCGA-A7-A426-01A-22R-A24H-07",69285817
"TCGA-A7-A4SA-01A-11R-A266-07",37851341
"TCGA-A7-A4SB-01A-21R-A266-07",36765537
"TCGA-A7-A4SC-01A-12R-A266-07",35376010
"TCGA-A7-A4SD-01A-11R-A266-07",41974400
"TCGA-A7-A4SE-01A-11R-A266-07",34174471
"TCGA-A7-A4SF-01A-11R-A266-07",34024244
"TCGA-A7-A56D-01A-11R-A27Q-07",39760198
"TCGA-A7-A5ZV-01A-11R-A28M-07",34329777
"TCGA-A7-A5ZW-01A-12R-A29R-07",46032421
"TCGA-A7-A5ZX-01A-12R-A29R-07",48093301
"TCGA-A7-A6VV-01A-22R-A33J-07",57498758
"TCGA-A7-A6VW-01A-21R-A33J-07",48965890
"TCGA-A7-A6VX-01A-12R-A33J-07",50037483
"TCGA-A7-A6VY-01A-12R-A33J-07",62223450
"TCGA-A8-A06N-01A-11R-A00Z-07",88432001
"TCGA-A8-A06O-01A-11R-A00Z-07",67377853
"TCGA-A8-A06P-01A-11R-A00Z-07",65308860
"TCGA-A8-A06Q-01A-11R-A034-07",86340706
"TCGA-A8-A06R-01A-11R-A00Z-07",59117258
"TCGA-A8-A06T-01A-11R-A00Z-07",73108139
"TCGA-A8-A06U-01A-11R-A00Z-07",54708067
"TCGA-A8-A06X-01A-21R-A00Z-07",39360103
"TCGA-A8-A06Y-01A-21R-A00Z-07",48089044
"TCGA-A8-A06Z-01A-11R-A00Z-07",88951843
"TCGA-A8-A075-01A-11R-A084-07",58378198
"TCGA-A8-A076-01A-21R-A00Z-07",70768245
"TCGA-A8-A079-01A-21R-A00Z-07",65459260
"TCGA-A8-A07B-01A-11R-A00Z-07",26586182
"TCGA-A8-A07C-01A-11R-A034-07",81498528
"TCGA-A8-A07E-01A-11R-A034-07",71845649
"TCGA-A8-A07F-01A-11R-A00Z-07",68225823
"TCGA-A8-A07G-01A-11R-A034-07",67855308
"TCGA-A8-A07I-01A-11R-A00Z-07",47578365
"TCGA-A8-A07J-01A-11R-A00Z-07",43097836
"TCGA-A8-A07L-01A-11R-A00Z-07",55820593
"TCGA-A8-A07O-01A-11R-A00Z-07",73108479
"TCGA-A8-A07P-01A-11R-A00Z-07",62293062
"TCGA-A8-A07R-01A-21R-A034-07",70781618
"TCGA-A8-A07S-01A-11R-A034-07",59080297
"TCGA-A8-A07U-01A-11R-A034-07",57613267
"TCGA-A8-A07W-01A-11R-A00Z-07",62597629
"TCGA-A8-A07Z-01A-11R-A00Z-07",40426424
"TCGA-A8-A081-01A-11R-A00Z-07",75379907
"TCGA-A8-A082-01A-11R-A00Z-07",51458106
"TCGA-A8-A083-01A-21R-A00Z-07",69452021
"TCGA-A8-A084-01A-21R-A00Z-07",52480598
"TCGA-A8-A085-01A-11R-A00Z-07",93316452
"TCGA-A8-A086-01A-11R-A00Z-07",70793459
"TCGA-A8-A08A-01A-11R-A32Y-07",56215078
"TCGA-A8-A08B-01A-11R-A00Z-07",23466090
"TCGA-A8-A08C-01A-11R-A00Z-07",58838126
"TCGA-A8-A08F-01A-11R-A00Z-07",47647603
"TCGA-A8-A08G-01A-11R-A00Z-07",72742074
"TCGA-A8-A08H-01A-21R-A00Z-07",47719228
"TCGA-A8-A08I-01A-11R-A00Z-07",96774371
"TCGA-A8-A08J-01A-11R-A00Z-07",66021670
