pathway,hallmark_genes,genes_present_in_expression,genes_missing_from_expression,coverage_percent
HALLMARK_ADIPOGENESIS,200,195,5,97.5
HALLMARK_ALLOGRAFT_REJECTION,200,181,19,90.5
HALLMARK_ANDROGEN_RESPONSE,101,97,4,96.03960396039604
HALLMARK_ANGIOGENESIS,36,30,6,83.33333333333334
HALLMARK_APICAL_JUNCTION,200,178,22,89.0
HALLMARK_APICAL_SURFACE,44,38,6,86.36363636363636
HALLMARK_APOPTOSIS,161,155,6,96.27329192546584
HALLMARK_BILE_ACID_METABOLISM,112,90,22,80.35714285714286
HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,71,3,95.94594594594594
HALLMARK_COAGULATION,138,108,30,78.26086956521739
HALLMARK_COMPLEMENT,200,179,21,89.5
HALLMARK_DNA_REPAIR,150,148,2,98.66666666666667
HALLMARK_E2F_TARGETS,200,199,1,99.5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,198,2,99.0
HALLMARK_ESTROGEN_RESPONSE_EARLY,200,195,5,97.5
HALLMARK_ESTROGEN_RESPONSE_LATE,200,193,7,96.5
HALLMARK_FATTY_ACID_METABOLISM,158,143,15,90.50632911392405
HALLMARK_G2M_CHECKPOINT,200,196,4,98.0
HALLMARK_GLYCOLYSIS,200,184,16,92.0
HALLMARK_HEDGEHOG_SIGNALING,36,33,3,91.66666666666666
HALLMARK_HEME_METABOLISM,200,168,32,84.0
HALLMARK_HYPOXIA,200,185,15,92.5
HALLMARK_IL2_STAT5_SIGNALING,199,186,13,93.46733668341709
HALLMARK_IL6_JAK_STAT3_SIGNALING,87,78,9,89.65517241379311
HALLMARK_INFLAMMATORY_RESPONSE,200,178,22,89.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,95,2,97.9381443298969
HALLMARK_INTERFERON_GAMMA_RESPONSE,200,193,7,96.5
HALLMARK_KRAS_SIGNALING_DN,200,130,70,65.0
HALLMARK_KRAS_SIGNALING_UP,200,179,21,89.5
HALLMARK_MITOTIC_SPINDLE,199,194,5,97.48743718592965
HALLMARK_MTORC1_SIGNALING,200,195,5,97.5
HALLMARK_MYC_TARGETS_V1,200,197,3,98.5
HALLMARK_MYC_TARGETS_V2,58,55,3,94.82758620689656
HALLMARK_MYOGENESIS,200,171,29,85.5
HALLMARK_NOTCH_SIGNALING,32,31,1,96.875
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,198,2,99.0
HALLMARK_P53_PATHWAY,200,192,8,96.0
HALLMARK_PANCREAS_BETA_CELLS,40,20,20,50.0
HALLMARK_PEROXISOME,104,97,7,93.26923076923077
HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,99,6,94.28571428571428
HALLMARK_PROTEIN_SECRETION,96,95,1,98.95833333333334
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,47,2,95.91836734693877
HALLMARK_SPERMATOGENESIS,135,88,47,65.18518518518519
HALLMARK_TGF_BETA_SIGNALING,54,53,1,98.14814814814815
HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,192,8,96.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,110,3,97.34513274336283
HALLMARK_UV_RESPONSE_DN,144,140,4,97.22222222222221
HALLMARK_UV_RESPONSE_UP,158,151,7,95.56962025316456
HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,39,3,92.85714285714286
HALLMARK_XENOBIOTIC_METABOLISM,200,163,37,81.5
