gene_symbol,string_id
A2M,9606.ENSP00000323929
AAAS,9606.ENSP00000209873
AADAT,9606.ENSP00000423190
AARS1,9606.ENSP00000261772
ABAT,9606.ENSP00000379845
ABCA1,9606.ENSP00000363868
ABCA2,9606.ENSP00000344155
ABCA3,9606.ENSP00000301732
ABCA4,9606.ENSP00000359245
ABCA5,9606.ENSP00000376443
ABCA6,9606.ENSP00000284425
ABCA8,9606.ENSP00000467271
ABCA9,9606.ENSP00000342216
ABCB1,9606.ENSP00000478255
ABCB4,9606.ENSP00000265723
ABCB7,9606.ENSP00000253577
ABCB8,9606.ENSP00000297504
ABCB9,9606.ENSP00000440288
ABCC1,9606.ENSP00000382342
ABCC3,9606.ENSP00000285238
ABCC4,9606.ENSP00000494609
ABCC5,9606.ENSP00000333926
ABCC8,9606.ENSP00000494321
ABCD1,9606.ENSP00000218104
ABCD2,9606.ENSP00000310688
ABCD3,9606.ENSP00000359233
ABCE1,9606.ENSP00000296577
ABCF2,9606.ENSP00000222388
ABCG2,9606.ENSP00000498246
ABHD2,9606.ENSP00000268129
ABHD4,9606.ENSP00000414558
ABHD6,9606.ENSP00000295962
ABI1,9606.ENSP00000365312
ABI3BP,9606.ENSP00000284322
ABL1,9606.ENSP00000361423
ABLIM1,9606.ENSP00000277895
ABR,9606.ENSP00000303909
ACAA1,9606.ENSP00000333664
ACAA2,9606.ENSP00000285093
ACACA,9606.ENSP00000483300
ACADM,9606.ENSP00000359871
ACADS,9606.ENSP00000242592
ACADSB,9606.ENSP00000357873
ACADVL,9606.ENSP00000438689
ACAT1,9606.ENSP00000265838
ACAT2,9606.ENSP00000356015
ACE,9606.ENSP00000290866
ACHE,9606.ENSP00000303211
ACKR1,9606.ENSP00000357103
ACKR3,9606.ENSP00000272928
ACLY,9606.ENSP00000466259
ACO2,9606.ENSP00000216254
ACOT2,9606.ENSP00000238651
ACOT8,9606.ENSP00000217455
ACOX1,9606.ENSP00000293217
ACOX2,9606.ENSP00000307697
ACOX3,9606.ENSP00000348775
ACP1,9606.ENSP00000272067
ACP5,9606.ENSP00000218758
ACRBP,9606.ENSP00000229243
ACSL1,9606.ENSP00000422607
ACSL3,9606.ENSP00000350012
