"pathway","min_c","max_c","sd_c","n_nodes"
"HALLMARK_ADIPOGENESIS",0.00757575757575758,0.174242424242424,0.0433939364142846,133
"HALLMARK_ALLOGRAFT_REJECTION",0.00598802395209581,0.467065868263473,0.086455968203253,168
"HALLMARK_ANDROGEN_RESPONSE",0.0263157894736842,0.131578947368421,0.0330391389772228,39
"HALLMARK_ANGIOGENESIS",0.0588235294117647,0.294117647058824,0.0795764166581792,18
"HALLMARK_APICAL_JUNCTION",0.00740740740740741,0.340740740740741,0.0583139931743731,136
"HALLMARK_APICAL_SURFACE",0.1,0.3,0.0646669790682863,11
"HALLMARK_APOPTOSIS",0.00775193798449612,0.317829457364341,0.0623515737617024,130
"HALLMARK_BILE_ACID_METABOLISM",0.0166666666666667,0.3,0.0699553157752977,61
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.024390243902439,0.463414634146341,0.173216588758072,42
"HALLMARK_COAGULATION",0.0138888888888889,0.430555555555556,0.0786771189469571,73
"HALLMARK_COMPLEMENT",0.0078125,0.2109375,0.0380539931689943,129
"HALLMARK_DNA_REPAIR",0.0078125,0.2890625,0.0776240887331931,129
"HALLMARK_E2F_TARGETS",0.00546448087431694,0.404371584699454,0.0845154731402976,184
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0065359477124183,0.450980392156863,0.0815981515798369,154
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0133333333333333,0.146666666666667,0.0306539510887084,76
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0104166666666667,0.104166666666667,0.0195272225228977,97
"HALLMARK_FATTY_ACID_METABOLISM",0.00934579439252336,0.299065420560748,0.0772084923803178,108
"HALLMARK_G2M_CHECKPOINT",0.00588235294117647,0.447058823529412,0.0985546941308454,171
"HALLMARK_GLYCOLYSIS",0.00833333333333333,0.175,0.0389644909886461,121
"HALLMARK_HEDGEHOG_SIGNALING",0.0666666666666667,0.2,0.0412759458244594,16
"HALLMARK_HEME_METABOLISM",0.0151515151515152,0.136363636363636,0.0264461667783489,67
"HALLMARK_HYPOXIA",0.00813008130081301,0.260162601626016,0.0474388290888443,124
"HALLMARK_IL2_STAT5_SIGNALING",0.0102040816326531,0.173469387755102,0.0318311469821932,99
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0138888888888889,0.652777777777778,0.124717522398801,73
"HALLMARK_INFLAMMATORY_RESPONSE",0.00806451612903226,0.435483870967742,0.0792953107013138,125
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0147058823529412,0.573529411764706,0.169738586824327,69
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00662251655629139,0.556291390728477,0.0865750861906505,152
"HALLMARK_KRAS_SIGNALING_DN",0.0357142857142857,0.178571428571429,0.0423913225602903,29
"HALLMARK_KRAS_SIGNALING_UP",0.0125,0.2625,0.0379798263133222,81
"HALLMARK_MITOTIC_SPINDLE",0.00613496932515337,0.300613496932515,0.0580881520658758,164
"HALLMARK_MTORC1_SIGNALING",0.00657894736842105,0.210526315789474,0.0300076928948567,153
"HALLMARK_MYC_TARGETS_V1",0.00543478260869565,0.244565217391304,0.0539935060196868,185
"HALLMARK_MYC_TARGETS_V2",0.0256410256410256,0.58974358974359,0.197759666905181,40
"HALLMARK_MYOGENESIS",0.00900900900900901,0.135135135135135,0.0340585216719421,112
"HALLMARK_NOTCH_SIGNALING",0.037037037037037,0.592592592592593,0.127647850628079,28
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00529100529100529,0.433862433862434,0.123382899793306,190
"HALLMARK_P53_PATHWAY",0.00900900900900901,0.486486486486487,0.0534105883340546,112
"HALLMARK_PANCREAS_BETA_CELLS",0.125,0.25,0.0625,9
"HALLMARK_PEROXISOME",0.0161290322580645,0.403225806451613,0.0860633043484081,63
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0112359550561798,0.370786516853933,0.0654031486899346,90
"HALLMARK_PROTEIN_SECRETION",0.0136986301369863,0.287671232876712,0.0750054822599624,74
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.037037037037037,0.592592592592593,0.169981408099358,28
"HALLMARK_SPERMATOGENESIS",0.0277777777777778,0.305555555555556,0.0906260127408042,37
"HALLMARK_TGF_BETA_SIGNALING",0.0227272727272727,0.590909090909091,0.132334491210986,45
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00740740740740741,0.392592592592593,0.0780833794400771,136
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0103092783505155,0.391752577319588,0.059318310385097,98
"HALLMARK_UV_RESPONSE_DN",0.0144927536231884,0.318840579710145,0.058799256365691,70
"HALLMARK_UV_RESPONSE_UP",0.0116279069767442,0.116279069767442,0.0258649059778658,87
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.027027027027027,0.486486486486487,0.120403426708885,38
"HALLMARK_XENOBIOTIC_METABOLISM",0.0108695652173913,0.108695652173913,0.0221044772080738,93
