"interaction","name","ScoreAverage","selected","shared interaction","shared name"
"pp","REV (pp) Q2TAY7","0.382","false","pp","REV (pp) Q2TAY7"
"pp","REV (pp) Q5T3I0","0.382","false","pp","REV (pp) Q5T3I0"
"pp","REV (pp) P29372","0.387","false","pp","REV (pp) P29372"
"pp","REV (pp) Q9HD23","0.385","false","pp","REV (pp) Q9HD23"
"pp","REV (pp) Q8WV92","0.398","false","pp","REV (pp) Q8WV92"
"pp","REV (pp) O75037","0.391","false","pp","REV (pp) O75037"
"pp","REV (pp) Q96BP2","0.411","false","pp","REV (pp) Q96BP2"
"pp","REV (pp) Q86XZ4","0.405","false","pp","REV (pp) Q86XZ4"
"pp","REV (pp) Q13123","0.425","false","pp","REV (pp) Q13123"
"pp","REV (pp) Q9Y6G3","0.42","false","pp","REV (pp) Q9Y6G3"
"pp","REV (pp) Q9Y2Q9","0.542","false","pp","REV (pp) Q9Y2Q9"
"pp","REV (pp) Q7Z7H5","0.446","false","pp","REV (pp) Q7Z7H5"
"pp","REV (pp) P82933","0.588","false","pp","REV (pp) P82933"
"pp","REV (pp) Q04837","0.542","false","pp","REV (pp) Q04837"
"pp","REV (pp) Q9BVK6","0.769","false","pp","REV (pp) Q9BVK6"
"pp","REV (pp) P49755","0.664","false","pp","REV (pp) P49755"
"pp","REV (pp) 9629359","0.947","false","pp","REV (pp) 9629359"
"pp","TAT (pp) Q9UQ35","0.38","false","pp","TAT (pp) Q9UQ35"
"pp","TAT (pp) P31942","0.382","false","pp","TAT (pp) P31942"
"pp","TAT (pp) Q03111","0.38","false","pp","TAT (pp) Q03111"
"pp","TAT (pp) Q9UK99","0.394","false","pp","TAT (pp) Q9UK99"
"pp","TAT (pp) Q9C0C9","0.382","false","pp","TAT (pp) Q9C0C9"
"pp","TAT (pp) Q8NCA5","0.406","false","pp","TAT (pp) Q8NCA5"
"pp","TAT (pp) Q8NAF0","0.404","false","pp","TAT (pp) Q8NAF0"
"pp","TAT (pp) P35556","0.419","false","pp","TAT (pp) P35556"
"pp","TAT (pp) P51784","0.412","false","pp","TAT (pp) P51784"
"pp","TAT (pp) O15355","0.442","false","pp","TAT (pp) O15355"
"pp","TAT (pp) Q9NXF7","0.419","false","pp","TAT (pp) Q9NXF7"
"pp","TAT (pp) Q96JP5","0.46","false","pp","TAT (pp) Q96JP5"
"pp","TAT (pp) P51825","0.454","false","pp","TAT (pp) P51825"
"pp","TAT (pp) Q99733","0.554","false","pp","TAT (pp) Q99733"
"pp","TAT (pp) O75607","0.545","false","pp","TAT (pp) O75607"
"pp","TAT (pp) Q4G0J3","0.727","false","pp","TAT (pp) Q4G0J3"
"pp","TAT (pp) Q96EB6","0.628","false","pp","TAT (pp) Q96EB6"
"pp","TAT (pp) Q7L2J0","0.774","false","pp","TAT (pp) Q7L2J0"
"pp","TAT (pp) Q96HN2","0.768","false","pp","TAT (pp) Q96HN2"
"pp","TAT (pp) Q9UHB7","0.857","false","pp","TAT (pp) Q9UHB7"
"pp","TAT (pp) O43865","0.834","false","pp","TAT (pp) O43865"
"pp","TAT (pp) O60563","0.888","false","pp","TAT (pp) O60563"
"pp","TAT (pp) P50750","0.88","false","pp","TAT (pp) P50750"
"pp","TAT (pp) 9629358","0.946","false","pp","TAT (pp) 9629358"
"pp","VPU (pp) Q9C0E2","0.376","false","pp","VPU (pp) Q9C0E2"
"pp","VPU (pp) Q86XR8","0.381","false","pp","VPU (pp) Q86XR8"
"pp","VPU (pp) P49792","0.376","false","pp","VPU (pp) P49792"
"pp","VPU (pp) Q9HCU5","0.383","false","pp","VPU (pp) Q9HCU5"
"pp","VPU (pp) Q16537","0.382","false","pp","VPU (pp) Q16537"
"pp","VPU (pp) Q6P1M0","0.386","false","pp","VPU (pp) Q6P1M0"
"pp","VPU (pp) Q8NCG7","0.383","false","pp","VPU (pp) Q8NCG7"
"pp","VPU (pp) Q63HN8","0.387","false","pp","VPU (pp) Q63HN8"
"pp","VPU (pp) Q6P2E9","0.386","false","pp","VPU (pp) Q6P2E9"
"pp","VPU (pp) Q9HAV4","0.388","false","pp","VPU (pp) Q9HAV4"
"pp","VPU (pp) P13598","0.387","false","pp","VPU (pp) P13598"
"pp","VPU (pp) Q15185","0.389","false","pp","VPU (pp) Q15185"
"pp","VPU (pp) P26038","0.389","false","pp","VPU (pp) P26038"
"pp","VPU (pp) O95470","0.392","false","pp","VPU (pp) O95470"
"pp","VPU (pp) Q96F15","0.391","false","pp","VPU (pp) Q96F15"
"pp","VPU (pp) P30049","0.395","false","pp","VPU (pp) P30049"
"pp","VPU (pp) Q99653","0.394","false","pp","VPU (pp) Q99653"
"pp","VPU (pp) Q8IY95","0.402","false","pp","VPU (pp) Q8IY95"
"pp","VPU (pp) P78357","0.398","false","pp","VPU (pp) P78357"
"pp","VPU (pp) Q53GQ0","0.412","false","pp","VPU (pp) Q53GQ0"
"pp","VPU (pp) Q9Y6D5","0.406","false","pp","VPU (pp) Q9Y6D5"
"pp","VPU (pp) O95573","0.44","false","pp","VPU (pp) O95573"
"pp","VPU (pp) P20020","0.426","false","pp","VPU (pp) P20020"
"pp","VPU (pp) P06576","0.579","false","pp","VPU (pp) P06576"
"pp","VPU (pp) P42695","0.472","false","pp","VPU (pp) P42695"
"pp","VPU (pp) Q9Y6D6","0.634","false","pp","VPU (pp) Q9Y6D6"
"pp","VPU (pp) Q15843","0.59","false","pp","VPU (pp) Q15843"
"pp","VPU (pp) Q969Z0","0.675","false","pp","VPU (pp) Q969Z0"
"pp","VPU (pp) P43487","0.67","false","pp","VPU (pp) P43487"
"pp","VPU (pp) P48047","0.717","false","pp","VPU (pp) P48047"
"pp","VPU (pp) O75947","0.681","false","pp","VPU (pp) O75947"
"pp","VPU (pp) Q8TC07","0.731","false","pp","VPU (pp) Q8TC07"
"pp","VPU (pp) P78527","0.721","false","pp","VPU (pp) P78527"
"pp","VPU (pp) O14980","0.765","false","pp","VPU (pp) O14980"
"pp","VPU (pp) Q96G23","0.742","false","pp","VPU (pp) Q96G23"
"pp","VPU (pp) Q5T9A4","0.783","false","pp","VPU (pp) Q5T9A4"
"pp","VPU (pp) P24539","0.782","false","pp","VPU (pp) P24539"
"pp","VPU (pp) Q9Y297","0.8","false","pp","VPU (pp) Q9Y297"
"pp","VPU (pp) P18859","0.795","false","pp","VPU (pp) P18859"
