from,to,combined_score
9606.ENSP00000001008,9606.ENSP00000231509,996.0
9606.ENSP00000001146,9606.ENSP00000224356,919.0
9606.ENSP00000003100,9606.ENSP00000242480,755.0
9606.ENSP00000003100,9606.ENSP00000228510,782.0
9606.ENSP00000003100,9606.ENSP00000217971,867.0
9606.ENSP00000005178,9606.ENSP00000227868,785.0
9606.ENSP00000005257,9606.ENSP00000230449,999.0
9606.ENSP00000005340,9606.ENSP00000220772,706.0
9606.ENSP00000005587,9606.ENSP00000046794,851.0
9606.ENSP00000006053,9606.ENSP00000225844,749.0
9606.ENSP00000006053,9606.ENSP00000225831,831.0
9606.ENSP00000006053,9606.ENSP00000219244,856.0
9606.ENSP00000006053,9606.ENSP00000219235,878.0
9606.ENSP00000006053,9606.ENSP00000246657,915.0
9606.ENSP00000006053,9606.ENSP00000229135,923.0
9606.ENSP00000009530,9606.ENSP00000216190,701.0
9606.ENSP00000009530,9606.ENSP00000232888,790.0
9606.ENSP00000009530,9606.ENSP00000232905,810.0
9606.ENSP00000009530,9606.ENSP00000244230,829.0
9606.ENSP00000009530,9606.ENSP00000230340,837.0
9606.ENSP00000009530,9606.ENSP00000216554,840.0
9606.ENSP00000009530,9606.ENSP00000243253,869.0
9606.ENSP00000009530,9606.ENSP00000219252,877.0
9606.ENSP00000009530,9606.ENSP00000229829,966.0
9606.ENSP00000009530,9606.ENSP00000230050,979.0
9606.ENSP00000011653,9606.ENSP00000227752,708.0
9606.ENSP00000011653,9606.ENSP00000219244,718.0
9606.ENSP00000011653,9606.ENSP00000219235,720.0
9606.ENSP00000011653,9606.ENSP00000244007,737.0
9606.ENSP00000011653,9606.ENSP00000221972,753.0
9606.ENSP00000011653,9606.ENSP00000227507,781.0
9606.ENSP00000011653,9606.ENSP00000162749,797.0
9606.ENSP00000011653,9606.ENSP00000225831,839.0
9606.ENSP00000011653,9606.ENSP00000226574,858.0
9606.ENSP00000011653,9606.ENSP00000221930,870.0
9606.ENSP00000011653,9606.ENSP00000216223,875.0
9606.ENSP00000011653,9606.ENSP00000046794,891.0
9606.ENSP00000011653,9606.ENSP00000216225,914.0
9606.ENSP00000011653,9606.ENSP00000226279,932.0
9606.ENSP00000011653,9606.ENSP00000229829,934.0
9606.ENSP00000011653,9606.ENSP00000216341,936.0
9606.ENSP00000011653,9606.ENSP00000220809,942.0
9606.ENSP00000011653,9606.ENSP00000246657,947.0
9606.ENSP00000011653,9606.ENSP00000228434,948.0
9606.ENSP00000011653,9606.ENSP00000231487,950.0
9606.ENSP00000011653,9606.ENSP00000227155,968.0
9606.ENSP00000011653,9606.ENSP00000229135,991.0
9606.ENSP00000013807,9606.ENSP00000216714,774.0
9606.ENSP00000013807,9606.ENSP00000223129,783.0
9606.ENSP00000013807,9606.ENSP00000231790,873.0
9606.ENSP00000013807,9606.ENSP00000233146,992.0
9606.ENSP00000016171,9606.ENSP00000233627,720.0
9606.ENSP00000016171,9606.ENSP00000229379,801.0
9606.ENSP00000016171,9606.ENSP00000203407,842.0
9606.ENSP00000017003,9606.ENSP00000029410,979.0
9606.ENSP00000020945,9606.ENSP00000221930,711.0
9606.ENSP00000020945,9606.ENSP00000219070,719.0
9606.ENSP00000020945,9606.ENSP00000245479,910.0
9606.ENSP00000035307,9606.ENSP00000243776,894.0
9606.ENSP00000037243,9606.ENSP00000237642,736.0
9606.ENSP00000037243,9606.ENSP00000212015,974.0
9606.ENSP00000044462,9606.ENSP00000216225,716.0
9606.ENSP00000044462,9606.ENSP00000231487,718.0
9606.ENSP00000044462,9606.ENSP00000216797,772.0
9606.ENSP00000044462,9606.ENSP00000216802,990.0
9606.ENSP00000044462,9606.ENSP00000215071,999.0
9606.ENSP00000044462,9606.ENSP00000216455,999.0
9606.ENSP00000044462,9606.ENSP00000219313,999.0
9606.ENSP00000044462,9606.ENSP00000157812,999.0
9606.ENSP00000046794,9606.ENSP00000234313,724.0
9606.ENSP00000046794,9606.ENSP00000245932,776.0
9606.ENSP00000046794,9606.ENSP00000233154,977.0
9606.ENSP00000046794,9606.ENSP00000244007,999.0
9606.ENSP00000052754,9606.ENSP00000222271,830.0
9606.ENSP00000052754,9606.ENSP00000222390,837.0
9606.ENSP00000052754,9606.ENSP00000243077,839.0
9606.ENSP00000052754,9606.ENSP00000219070,866.0
9606.ENSP00000052754,9606.ENSP00000221515,887.0
9606.ENSP00000052754,9606.ENSP00000231061,905.0
9606.ENSP00000052754,9606.ENSP00000225964,923.0
9606.ENSP00000052754,9606.ENSP00000238682,961.0
9606.ENSP00000052754,9606.ENSP00000221930,999.0
9606.ENSP00000054666,9606.ENSP00000236192,701.0
9606.ENSP00000054666,9606.ENSP00000223369,852.0
9606.ENSP00000054666,9606.ENSP00000222547,868.0
9606.ENSP00000055077,9606.ENSP00000209728,716.0
9606.ENSP00000055077,9606.ENSP00000223398,733.0
9606.ENSP00000055077,9606.ENSP00000231790,857.0
9606.ENSP00000055077,9606.ENSP00000223129,859.0
9606.ENSP00000055077,9606.ENSP00000216122,874.0
9606.ENSP00000055077,9606.ENSP00000233146,884.0
9606.ENSP00000070846,9606.ENSP00000238682,862.0
9606.ENSP00000083182,9606.ENSP00000216225,904.0
9606.ENSP00000157812,9606.ENSP00000230050,707.0
9606.ENSP00000157812,9606.ENSP00000216802,824.0
9606.ENSP00000157812,9606.ENSP00000216455,998.0
9606.ENSP00000157812,9606.ENSP00000215071,999.0
9606.ENSP00000157812,9606.ENSP00000219313,999.0
9606.ENSP00000160827,9606.ENSP00000240423,736.0
9606.ENSP00000160827,9606.ENSP00000216911,802.0
9606.ENSP00000162749,9606.ENSP00000220751,706.0
9606.ENSP00000162749,9606.ENSP00000245817,714.0
9606.ENSP00000162749,9606.ENSP00000225831,768.0
9606.ENSP00000162749,9606.ENSP00000216797,809.0
9606.ENSP00000162749,9606.ENSP00000228918,841.0
9606.ENSP00000162749,9606.ENSP00000226574,848.0
9606.ENSP00000162749,9606.ENSP00000218388,873.0
9606.ENSP00000162749,9606.ENSP00000229135,919.0
9606.ENSP00000162749,9606.ENSP00000241261,993.0
9606.ENSP00000164133,9606.ENSP00000216037,750.0
9606.ENSP00000164133,9606.ENSP00000221138,966.0
9606.ENSP00000164139,9606.ENSP00000216392,955.0
9606.ENSP00000164139,9606.ENSP00000216962,959.0
9606.ENSP00000164227,9606.ENSP00000216797,904.0
9606.ENSP00000164227,9606.ENSP00000221452,959.0
9606.ENSP00000164227,9606.ENSP00000226574,999.0
9606.ENSP00000166139,9606.ENSP00000242208,989.0
9606.ENSP00000166345,9606.ENSP00000216024,705.0
9606.ENSP00000166345,9606.ENSP00000216911,771.0
9606.ENSP00000168216,9606.ENSP00000220592,902.0
9606.ENSP00000168216,9606.ENSP00000231887,965.0
9606.ENSP00000171887,9606.ENSP00000211998,808.0
9606.ENSP00000173898,9606.ENSP00000230340,999.0
9606.ENSP00000184266,9606.ENSP00000229379,761.0
9606.ENSP00000184266,9606.ENSP00000203407,967.0
9606.ENSP00000184266,9606.ENSP00000215565,999.0
9606.ENSP00000184266,9606.ENSP00000233627,999.0
9606.ENSP00000196061,9606.ENSP00000236040,742.0
9606.ENSP00000196061,9606.ENSP00000231004,780.0
9606.ENSP00000196061,9606.ENSP00000225964,818.0
9606.ENSP00000196061,9606.ENSP00000223127,965.0
9606.ENSP00000200181,9606.ENSP00000222693,706.0
9606.ENSP00000200181,9606.ENSP00000245932,707.0
9606.ENSP00000200181,9606.ENSP00000225964,756.0
9606.ENSP00000200181,9606.ENSP00000222573,762.0
9606.ENSP00000200181,9606.ENSP00000230538,919.0
9606.ENSP00000200453,9606.ENSP00000239223,746.0
9606.ENSP00000201586,9606.ENSP00000217961,940.0
9606.ENSP00000203407,9606.ENSP00000245206,718.0
9606.ENSP00000203407,9606.ENSP00000225665,725.0
9606.ENSP00000203407,9606.ENSP00000205402,831.0
9606.ENSP00000203407,9606.ENSP00000216254,855.0
9606.ENSP00000203407,9606.ENSP00000215375,968.0
9606.ENSP00000203407,9606.ENSP00000229379,989.0
9606.ENSP00000203407,9606.ENSP00000215565,991.0
9606.ENSP00000203407,9606.ENSP00000233627,997.0
9606.ENSP00000205402,9606.ENSP00000216254,751.0
9606.ENSP00000205402,9606.ENSP00000217901,889.0
9606.ENSP00000205402,9606.ENSP00000227868,999.0
9606.ENSP00000209728,9606.ENSP00000223129,712.0
9606.ENSP00000209728,9606.ENSP00000216911,761.0
9606.ENSP00000209728,9606.ENSP00000216122,999.0
9606.ENSP00000209728,9606.ENSP00000219097,999.0
9606.ENSP00000209728,9606.ENSP00000234296,999.0
9606.ENSP00000209873,9606.ENSP00000229179,980.0
9606.ENSP00000210060,9606.ENSP00000234111,745.0
9606.ENSP00000211287,9606.ENSP00000232564,737.0
9606.ENSP00000211287,9606.ENSP00000245919,776.0
9606.ENSP00000211287,9606.ENSP00000240100,784.0
9606.ENSP00000211287,9606.ENSP00000215832,907.0
9606.ENSP00000211287,9606.ENSP00000215659,915.0
9606.ENSP00000211287,9606.ENSP00000226004,927.0
9606.ENSP00000211287,9606.ENSP00000245960,927.0
9606.ENSP00000211287,9606.ENSP00000239223,955.0
9606.ENSP00000211998,9606.ENSP00000215832,786.0
9606.ENSP00000211998,9606.ENSP00000220003,826.0
9606.ENSP00000211998,9606.ENSP00000225655,978.0
9606.ENSP00000211998,9606.ENSP00000223023,984.0
9606.ENSP00000211998,9606.ENSP00000245932,999.0
9606.ENSP00000211998,9606.ENSP00000240123,999.0
9606.ENSP00000212015,9606.ENSP00000229595,719.0
9606.ENSP00000212015,9606.ENSP00000227507,721.0
9606.ENSP00000212015,9606.ENSP00000216117,733.0
9606.ENSP00000212015,9606.ENSP00000216714,797.0
9606.ENSP00000212015,9606.ENSP00000219476,843.0
9606.ENSP00000212015,9606.ENSP00000230792,911.0
9606.ENSP00000212015,9606.ENSP00000245919,920.0
9606.ENSP00000212015,9606.ENSP00000226279,943.0
9606.ENSP00000212015,9606.ENSP00000225916,943.0
9606.ENSP00000212015,9606.ENSP00000226574,983.0
9606.ENSP00000212015,9606.ENSP00000222553,993.0
9606.ENSP00000212355,9606.ENSP00000243786,904.0
9606.ENSP00000212355,9606.ENSP00000241416,957.0
9606.ENSP00000212355,9606.ENSP00000238682,993.0
9606.ENSP00000212355,9606.ENSP00000221930,997.0
9606.ENSP00000215071,9606.ENSP00000216455,999.0
9606.ENSP00000215071,9606.ENSP00000219313,999.0
9606.ENSP00000215375,9606.ENSP00000229379,808.0
9606.ENSP00000215375,9606.ENSP00000234396,910.0
9606.ENSP00000215375,9606.ENSP00000216442,931.0
9606.ENSP00000215375,9606.ENSP00000215565,970.0
9606.ENSP00000215375,9606.ENSP00000233627,992.0
9606.ENSP00000215375,9606.ENSP00000243997,999.0
