"protein1","protein2","combined_score"
"9606.ENSP00000000412","9606.ENSP00000311962",911
"9606.ENSP00000000412","9606.ENSP00000349437",991
"9606.ENSP00000001008","9606.ENSP00000351646",979
"9606.ENSP00000001008","9606.ENSP00000350815",945
"9606.ENSP00000001008","9606.ENSP00000444810",972
"9606.ENSP00000001008","9606.ENSP00000401645",712
"9606.ENSP00000001008","9606.ENSP00000437125",942
"9606.ENSP00000001008","9606.ENSP00000359385",983
"9606.ENSP00000001008","9606.ENSP00000378199",748
"9606.ENSP00000001008","9606.ENSP00000354558",961
"9606.ENSP00000001008","9606.ENSP00000451828",914
"9606.ENSP00000001008","9606.ENSP00000482075",990
"9606.ENSP00000001008","9606.ENSP00000254322",957
"9606.ENSP00000001008","9606.ENSP00000360609",999
"9606.ENSP00000001008","9606.ENSP00000302961",998
"9606.ENSP00000001008","9606.ENSP00000231509",996
"9606.ENSP00000001008","9606.ENSP00000335153",999
"9606.ENSP00000001008","9606.ENSP00000263038",783
"9606.ENSP00000001008","9606.ENSP00000325120",977
"9606.ENSP00000001008","9606.ENSP00000292169",742
"9606.ENSP00000001008","9606.ENSP00000485525",849
"9606.ENSP00000001008","9606.ENSP00000364802",771
"9606.ENSP00000001008","9606.ENSP00000405330",893
"9606.ENSP00000001008","9606.ENSP00000363822",928
"9606.ENSP00000001008","9606.ENSP00000359424",801
"9606.ENSP00000001146","9606.ENSP00000360958",927
"9606.ENSP00000001146","9606.ENSP00000299529",750
"9606.ENSP00000001146","9606.ENSP00000308032",941
"9606.ENSP00000001146","9606.ENSP00000297785",964
"9606.ENSP00000001146","9606.ENSP00000224356",919
"9606.ENSP00000001146","9606.ENSP00000342007",945
"9606.ENSP00000001146","9606.ENSP00000378488",943
"9606.ENSP00000001146","9606.ENSP00000363832",921
"9606.ENSP00000001146","9606.ENSP00000285979",937
"9606.ENSP00000001146","9606.ENSP00000311095",926
"9606.ENSP00000001146","9606.ENSP00000332256",973
"9606.ENSP00000001146","9606.ENSP00000249750",988
"9606.ENSP00000002596","9606.ENSP00000359581",877
"9606.ENSP00000002596","9606.ENSP00000261858",736
"9606.ENSP00000002596","9606.ENSP00000308770",845
"9606.ENSP00000003084","9606.ENSP00000247461",936
"9606.ENSP00000003084","9606.ENSP00000359596",829
"9606.ENSP00000003084","9606.ENSP00000347742",882
"9606.ENSP00000003084","9606.ENSP00000248553",780
"9606.ENSP00000003084","9606.ENSP00000361930",944
"9606.ENSP00000003084","9606.ENSP00000348416",964
"9606.ENSP00000003084","9606.ENSP00000309591",982
"9606.ENSP00000003084","9606.ENSP00000488437",707
"9606.ENSP00000003084","9606.ENSP00000254322",825
"9606.ENSP00000003084","9606.ENSP00000449404",752
"9606.ENSP00000003084","9606.ENSP00000262461",816
