"pathway_a","pathway_b","correlation","partial_correlation","p_value","FDR","interaction"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE",0.926090610476202,0.871259684502666,0,0,"positive"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.964480239833461,0.993897235603236,0,0,"positive"
"HALLMARK_E2F_TARGETS","HALLMARK_G2M_CHECKPOINT",0.993026348144177,0.759429083202481,4.02408258045176e-197,1.64316705368447e-194,"positive"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PEROXISOME",0.959909035262998,0.713561162220302,1.60289547435811e-163,4.90886739022171e-161,"positive"
"HALLMARK_ANGIOGENESIS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.960625677136728,0.705531485602868,2.58597399113095e-158,6.33563627827083e-156,"positive"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UV_RESPONSE_UP",0.85739161002828,0.597462416207084,3.27482925977414e-102,6.68610973870554e-100,"positive"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.581051549557452,-0.582236535993406,5.91498558431084e-96,1.0351224772544e-93,"negative"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.763078338613996,0.576076727996717,1.62368793021061e-93,2.48627214313499e-91,"positive"
"HALLMARK_GLYCOLYSIS","HALLMARK_HYPOXIA",0.740890916414435,0.555229488708554,1.23251084509265e-85,1.67758420582055e-83,"positive"
"HALLMARK_COAGULATION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.933503838308201,0.545096878573182,5.2916773521146e-82,6.48230475634038e-80,"positive"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_MITOTIC_SPINDLE",0.958393044665652,0.516733549275818,1.81203824842672e-72,2.01795168574794e-70,"positive"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.810851870340701,0.508625404961442,6.63490168635544e-70,6.77312880482117e-68,"positive"
"HALLMARK_GLYCOLYSIS","HALLMARK_MTORC1_SIGNALING",0.873509227773293,0.499564140108365,4.0391097138131e-67,3.80608415340081e-65,"positive"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2",0.890996287982986,0.474836309651675,6.20341318386758e-60,5.42798653588413e-58,"positive"
"HALLMARK_DNA_REPAIR","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.750958902069785,0.468882126716965,2.73404434902579e-58,2.23280288503773e-56,"positive"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.875960977731256,0.468319594574589,3.89466588912576e-58,2.98185357136191e-56,"positive"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.86432328930038,0.428751876040437,5.11035343090526e-48,3.68246056050526e-46,"positive"
"HALLMARK_COAGULATION","HALLMARK_COMPLEMENT",0.859744249010861,0.401158555108214,1.02371327459416e-41,6.96693756321025e-40,"positive"
"HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS",0.672838535055899,0.401018047145848,1.09844779612049e-41,7.08209763288208e-40,"positive"
"HALLMARK_ANGIOGENESIS","HALLMARK_KRAS_SIGNALING_UP",0.600519563198999,0.398491583280819,3.8771407549941e-41,2.37474871243389e-39,"positive"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MTORC1_SIGNALING",0.77688305686948,0.395320893824982,1.85879679029161e-40,1.08429812767011e-38,"positive"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_IL2_STAT5_SIGNALING",0.904026961246196,0.374622910705715,3.42230512814049e-36,1.90560171907823e-34,"positive"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_P53_PATHWAY",0.0746792275227781,-0.34702435191431,5.74584667932196e-31,3.06028790529104e-29,"negative"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_XENOBIOTIC_METABOLISM",0.704641655690193,0.338432240455595,1.91857251017595e-29,9.7927138540231e-28,"positive"
"HALLMARK_DNA_REPAIR","HALLMARK_MYC_TARGETS_V2",0.819850645746909,0.334366709731819,9.71328205960174e-29,4.75950820920485e-27,"positive"
"HALLMARK_E2F_TARGETS","HALLMARK_P53_PATHWAY",0.13504659760796,0.333561556150751,1.33541757361438e-28,6.2918712602985e-27,"positive"
"HALLMARK_APICAL_JUNCTION","HALLMARK_MYOGENESIS",0.793446576885662,0.331618150441768,2.86828594917792e-28,1.30135195842332e-26,"positive"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_SPERMATOGENESIS",0.938002265381025,0.329155100135949,7.498532351661e-28,3.28060790385169e-26,"positive"
"HALLMARK_APOPTOSIS","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.8192675183323,0.326620203025729,1.99767407211996e-27,8.43845082188603e-26,"positive"
