patient_id,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
TCGA-3C-AAAU,5.801248790919411,3.271479309712798,5.270149127313927,5.676009419186364,5.39088146834377,4.463694552411744,5.29320710811712,5.361212888360731,5.1195901083565785,5.59079692243952,4.7566733503912655,5.434696218412873,5.196132887409315,6.037296057739987,6.10605767854281,5.274625753270935,5.054551013289593,5.148308447059826,5.65648592389657,4.1666507340419034,4.164088283659511,5.514222159826136,4.380283690622173,3.35753341548611,3.3884671938385664,4.587861758345628,4.18100193478544,2.848065910706085,4.05785578726765,4.878322766354959,6.470474068038201,6.881841047612353,5.474017409829902,3.9006929564370583,4.777863805231428,6.239961095892507,5.268735136691698,4.982383194351279,5.155930512334164,5.539933459475908,6.168323712573381,6.287401887579035,4.070277328608585,5.162981401970866,4.2137729307695855,6.620183601522665,4.71908711076728,4.286443296849147,4.807612231350862,4.917039928406567
TCGA-3C-AALI,5.781740414635087,4.497295799380632,5.167678359160014,5.52373765753228,5.361572229591856,4.442787025300659,5.240611728535579,5.087714091713047,5.704734312176536,5.962761800327094,4.932013162484285,5.296221054212531,5.2672445184117445,6.461370659396343,4.578944455185468,4.827708996979004,5.28433576965104,5.2753404437595215,5.761459117931027,3.627335746031223,4.2510510201054545,5.50173121592591,4.433677243183458,3.760690568079938,4.227679534999837,5.40233213001697,5.137061897571052,3.0444609647553054,4.455833891116293,4.94516474153004,6.639933059999804,6.741304376344144,5.092371330180771,4.6403110842909285,4.751012844931788,6.263220101712599,5.2694245043198205,3.366365346654739,4.963593559159455,5.536455926910487,5.82280892192444,6.945873331560262,4.194225868239052,5.169541771855119,4.662691940413613,6.195926709206399,4.170549133025172,4.770901608853298,4.071714931870026,4.998805702600695
TCGA-3C-AALJ,5.6662692612599,4.091650223543984,4.994680083624548,5.942975698448024,5.196404298244466,4.374986330540839,4.97186048423976,4.893612240401473,4.991411559756092,6.368752101981421,4.990508951377478,5.124072893218842,4.850496443224052,6.498893880951865,5.192325397897857,5.025836915838559,4.905369952354995,4.877102963903604,5.442786740782278,3.4412344872516214,3.917546620019969,5.463260726187398,4.593917742921201,3.424559213360988,3.9828002897030754,4.68847401557713,4.5340954996685765,2.423439218322157,4.811992148457988,4.572632190927276,6.2029792811343345,6.8025586640319515,5.332048153104808,4.0904452521000545,4.7421244459212035,6.129385969978505,5.078697324641906,3.1145116350007047,4.970273634496593,5.270368049220594,5.854386224952009,7.180924775687778,3.80506640544983,5.063385990818347,4.429834862140657,6.268872003754973,4.5422632358688295,4.692730593738543,4.288376013664941,4.839889637565951
TCGA-3C-AALK,5.5887065698708005,4.07886572571024,5.446762197676903,6.032083371941844,5.53232906931309,4.513974558665193,5.24129176168398,5.298066843101039,5.779733963538173,6.5514620660679395,5.273867917535379,4.96519338038843,4.428753526311117,7.320160075320171,6.116229464356162,6.261197097725541,5.025904047229846,4.268752569520032,5.4308499322032295,3.7511148191509562,4.170843121552255,5.628934052035373,4.498070457717635,3.9031943657145796,4.33484331792518,4.8377702594753424,4.679204762799452,3.0220774813207045,4.728367228593258,4.275861279174088,6.215762417938458,6.738294482383453,4.9840586821303825,4.71258038455019,5.418836998072804,6.06375391966394,5.567552200382415,3.442439638993089,5.192168754551526,5.401122094978204,5.8859707616387755,6.369794399846059,3.2677324873158007,5.206390995874624,5.135328815675595,6.275371086008094,4.8175369098968766,4.787381720321605,4.22165865515264,4.999329544971261
TCGA-4H-AAAK,5.761017253345242,4.046103059762672,5.53642516293641,6.380365008838909,5.5404176260261275,4.758682130051831,5.245323185459415,5.508344941991744,5.195205360045803,6.659522074710477,5.185219331850541,5.268060861166022,4.744495134538751,7.624414653414574,6.0433224532189245,6.109253054150846,5.171030684363057,4.485776374489176,5.646780701051646,3.857829251551288,4.391095174003286,5.964379757051341,4.923198671138102,3.8437393885361275,4.047832539662073,5.70191061610177,5.236369916603776,3.1566254817501482,4.96202673414738,4.519505311536984,6.270178924523985,6.980086400427659,5.4974332001796755,4.949641557226401,5.5199484757709,6.112528745553058,5.647639843035174,3.743441438955665,5.196356378707028,5.465111002125311,6.04686131215656,6.494087042566838,3.53687084212462,5.318039973019275,4.8160109575253065,6.590400343651688,5.316790478787254,4.9967010814540345,4.854348820152411,5.020882119223908
TCGA-5L-AAT0,5.588859013160815,4.441657803037719,5.348686088460389,6.21941235192014,5.505777605384749,4.693647559749155,5.323734919894265,5.4691144423506355,4.5558542043789645,6.532389418781879,5.31905075708715,5.058681100951905,4.115647373455149,7.085272045649768,5.675426636117269,5.705279509050525,4.980661564755279,3.7343859878651475,5.345876634296661,3.6660548037089327,4.383758526998305,5.469063619834576,4.820843565589681,3.9879368053688,4.143245159617865,5.026088679962391,4.808960975006937,3.096075072703284,5.102560788621232,3.839451555927608,5.879778527930185,6.752900253585216,5.0726398980684895,4.695366054500715,5.308760711051851,6.074281699451705,5.595482103839574,3.61437127294105,5.09799950098289,5.21343176074849,5.861931584481998,6.5785257006333,2.8091368153114518,5.2452675768787715,4.52641727211264,6.2587975452945335,4.666664407366256,4.509782005140717,4.496307081884006,5.148193727435762
TCGA-5L-AAT1,5.845038508036809,5.008322580071147,5.347877986591253,5.716429290910497,5.451132189603362,4.483031985072843,5.3816319349361,5.432983787567124,4.731363125928699,6.406026886897892,5.44240062415166,5.089595866736948,3.8875518647007197,6.838345028877563,5.453201644420334,5.48364913980237,5.201125047235011,3.444941611055234,5.348948904337414,3.540262515228058,4.394532371906231,5.568944877975834,4.847263327274933,4.365950539371802,4.581499094561365,5.924732428104753,5.695096506176064,2.971134025710797,4.969409861318667,3.649506582543042,6.050074694388731,6.764505544220453,5.088793855655685,4.321048292538658,4.814339879567866,6.315249807451149,5.745729124805601,3.750416739243871,5.129203012421679,5.415043770919902,6.000567356261661,6.854462668871007,3.0995362745743664,5.110073198807132,5.124004581525337,6.2438791318862314,4.66108587420395,4.85331174762217,4.525003123325642,5.3744868855514385
TCGA-5T-A9QA,5.91821604771518,3.1812316838357915,5.046507086413396,4.28765941953266,5.144615628589306,3.623197637546051,4.510469455069451,5.189698816457139,5.806403440363506,3.940762756302276,3.6717080271272713,5.353470801761328,5.045106882180267,4.348965764393527,5.552847471285117,5.124011527063027,5.286274784437235,5.018215908490459,5.644885379111847,2.56113690325442,3.8893805543061406,4.959676387623218,3.9945455376568697,2.786153559153697,2.740387303030629,5.621074000262637,4.714448621505436,2.5313387192583696,4.02312293793374,4.63424308582174,6.623206899422748,7.060880637978755,5.7306498803984365,3.4730268232020314,4.2334376862965355,6.507528935360074,5.366976921746171,3.2691672562383642,5.1238953853634905,5.261398015812528,6.20060599988422,6.803013763733042,4.149335825846733,4.595543003709985,3.9585033882879754,6.66608704169596,3.894522730451841,4.638091776596459,4.145886567077019,5.306837464284047
TCGA-A1-A0SB,5.794482013875654,2.9958352874931005,5.578174281954028,5.47444146101476,5.624503092601474,4.3846437986789315,5.085765438088829,4.880654770921867,4.5909184324204055,5.640358905709509,4.491462711045024,5.223064201925903,4.638036530319314,6.398303337911813,5.220475614794328,6.054005933033536,5.212052221191445,4.297997708360716,5.464264428500756,4.402555449095597,4.7515923933682584,5.614625608211082,3.683174688565241,3.402745485223998,3.230721958848502,3.3116410464948585,3.378067151738563,3.3063316928708764,3.7264970556578563,4.440125769431364,6.032857128373381,7.235586932104063,5.601345125834534,4.316828902507325,5.721599163105089,5.93639709790525,5.827680132514941,3.357037122257959,5.021849156225161,5.417105519366505,6.185551294418635,6.501148769168918,3.3800188341618154,5.770940864837711,4.974012079146203,6.492769832923555,5.370466459065763,5.2207392892939035,5.687163531863146,5.1311311410326725
TCGA-A1-A0SD,5.758859400220202,4.172038749850498,5.908257337750297,6.6683316162536785,5.715581421371988,4.819762933384669,5.482780371915693,5.325686097690837,5.461462644547937,6.806217066340947,5.434616604934072,4.984358816663722,4.374319427843057,7.123414764212512,6.399993936333723,5.987523613040412,5.452731916642049,4.311431356406748,5.528355371344917,4.160202148704819,4.361859766751631,5.8715371397704965,4.844738475739972,4.314209006571169,4.459633797233621,6.489177792575043,5.87069045100576,3.232237695530087,5.14386548015112,4.404174434240528,6.2495015472354165,6.716140550645362,5.0892534810760495,4.976385247874933,5.595555423564984,6.049676215293222,5.696328440357441,4.237311831278071,5.309085909372768,5.5308761806016475,6.177776529142114,6.727785092480755,3.2879501538396547,5.721256772676674,5.354501714315005,6.382868008491066,5.49416303046966,5.325121185344227,4.951691836299864,5.501854774406345
