"pathway","n_non_missing","n_patients","percent_complete"
"HALLMARK_ADIPOGENESIS",1094,1094,100
"HALLMARK_ALLOGRAFT_REJECTION",1094,1094,100
"HALLMARK_ANDROGEN_RESPONSE",1094,1094,100
"HALLMARK_ANGIOGENESIS",1094,1094,100
"HALLMARK_APICAL_JUNCTION",1094,1094,100
"HALLMARK_APICAL_SURFACE",1094,1094,100
"HALLMARK_APOPTOSIS",1094,1094,100
"HALLMARK_BILE_ACID_METABOLISM",1094,1094,100
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1094,1094,100
"HALLMARK_COAGULATION",1094,1094,100
"HALLMARK_COMPLEMENT",1094,1094,100
"HALLMARK_DNA_REPAIR",1094,1094,100
"HALLMARK_E2F_TARGETS",1094,1094,100
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1094,1094,100
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1094,1094,100
"HALLMARK_ESTROGEN_RESPONSE_LATE",1094,1094,100
"HALLMARK_FATTY_ACID_METABOLISM",1094,1094,100
"HALLMARK_G2M_CHECKPOINT",1094,1094,100
"HALLMARK_GLYCOLYSIS",1094,1094,100
"HALLMARK_HEDGEHOG_SIGNALING",1094,1094,100
"HALLMARK_HEME_METABOLISM",1094,1094,100
"HALLMARK_HYPOXIA",1094,1094,100
"HALLMARK_IL2_STAT5_SIGNALING",1094,1094,100
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1094,1094,100
"HALLMARK_INFLAMMATORY_RESPONSE",1094,1094,100
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1094,1094,100
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1094,1094,100
"HALLMARK_KRAS_SIGNALING_DN",1094,1094,100
"HALLMARK_KRAS_SIGNALING_UP",1094,1094,100
"HALLMARK_MITOTIC_SPINDLE",1094,1094,100
"HALLMARK_MTORC1_SIGNALING",1094,1094,100
"HALLMARK_MYC_TARGETS_V1",1094,1094,100
"HALLMARK_MYC_TARGETS_V2",1094,1094,100
"HALLMARK_MYOGENESIS",1094,1094,100
"HALLMARK_NOTCH_SIGNALING",1094,1094,100
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1094,1094,100
"HALLMARK_P53_PATHWAY",1094,1094,100
"HALLMARK_PANCREAS_BETA_CELLS",1094,1094,100
"HALLMARK_PEROXISOME",1094,1094,100
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",1094,1094,100
"HALLMARK_PROTEIN_SECRETION",1094,1094,100
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1094,1094,100
"HALLMARK_SPERMATOGENESIS",1094,1094,100
"HALLMARK_TGF_BETA_SIGNALING",1094,1094,100
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1094,1094,100
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1094,1094,100
"HALLMARK_UV_RESPONSE_DN",1094,1094,100
"HALLMARK_UV_RESPONSE_UP",1094,1094,100
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1094,1094,100
"HALLMARK_XENOBIOTIC_METABOLISM",1094,1094,100
