patient_id,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
TCGA-3C-AAAU-01A-11R-A41B-07,5.404322743717262,3.001654246395028,5.830767941029087,7.58115406050018,5.477415090103133,4.52216108810925,5.157277870921811,4.913534469464158,5.3191166463262975,5.363053033718644,4.663989408329607,5.303825840952925,5.164249441217594,6.216251911956042,6.417412654755176,5.635269933643806,5.0308382269989,5.091336276830709,5.961003928303999,4.246714262982806,4.599536951350667,5.6442241270924844,4.0071499694804364,3.792260436595624,2.9402505637149274,4.425766745511092,4.146624093573431,1.2886083175390632,3.665629873830828,5.115927637100146,6.539910354788645,6.752877063691352,5.535189553103802,3.9281412000797786,4.676410531960675,6.194699545205728,5.528138103874781,7.476134664101604,5.320170619514088,5.227117924167015,5.849813983654931,6.278644844465221,4.502626881078376,5.037917672336746,4.077224182937467,6.553386003862066,5.073626467915575,4.6964186316314755,4.477572311289488,4.49796418331049
TCGA-3C-AALI-01A-11R-A41B-07,5.651292379808279,4.364290728331192,6.135677481714691,7.538851222532534,5.489131645803893,4.775989436874396,5.23367754141062,4.449029660695771,5.701254804413788,5.8413047459654,5.150553661180811,5.234221463234256,5.2196165646816235,6.584262801037679,4.224520322666685,4.94201658133455,5.329217527698909,5.2311854921614644,6.010601340409613,4.305510556369669,4.364505365440226,5.909644392879122,4.211799973959911,4.4059386079652985,3.8927400668841865,5.305677247509977,5.1477240790779195,2.9337191589797897,4.233625509699554,5.204388673071138,6.7266766052735205,6.6129220289652535,5.212005498017066,4.305308319685127,4.797979693602271,6.231807261757625,5.182216135642128,7.044266310841777,5.047473047237953,5.21337408213019,5.446333234226369,6.693352538078311,5.052477228648088,5.116862738858175,4.425242644868674,6.145085218551307,5.139860168899667,5.302091559351663,4.121904933554287,4.532808751504594
TCGA-3C-AALJ-01A-31R-A41B-07,5.674563911399386,4.036443538332373,5.365410618853376,7.87416525764372,5.211218055907885,2.8236008333265534,4.879078973899258,4.368537702432364,4.925813496376381,6.1362280414046,5.059876005176495,5.0912082222631705,4.882294596623706,6.645824726393523,5.292056292998364,5.19040128377973,4.82895473055549,4.871583771436623,5.6479291156037075,4.149653597435633,4.278696119677817,5.633357218098247,4.20059451117027,3.9572832301053578,3.5614479282856397,4.544692581420127,4.487671686538145,1.607785601140402,4.4193860311907125,4.7973521003562345,6.261470195416415,6.684482025097706,5.523261220682496,3.9069636422526166,4.504985087992297,6.1235502143692,5.27683653062185,7.541641148285813,4.960667388139294,5.023740119051103,5.50625116470709,6.752699890045958,4.527859846914198,4.962611309309603,4.221573619567687,6.1484466735729,5.168625843459552,4.985640949759204,4.288240920291948,4.474152537280412
TCGA-3C-AALK-01A-11R-A41B-07,5.3170216555766325,3.921846364154658,6.196625789331443,8.22806858831928,5.79507015381232,4.415552375151877,5.310679319516734,4.632280764698491,5.63205354311733,6.1964481583058255,5.2606652900669655,4.925565989089171,4.398602725167554,7.425107665164235,6.139439413916047,5.737136736658194,5.131553321188753,4.24420666363552,5.716953208581755,4.702877276469427,4.312026346970319,5.848710601949464,4.246985344360873,4.340445806402928,3.8730900519940525,4.7512412091936955,4.638112688506866,2.264847150563351,4.352555640125105,4.41826417791529,6.297723869339594,6.6269508128650845,5.154743636986329,4.5257912016402635,5.230641040164113,6.060802351176316,5.702525932413265,7.675353907068566,5.149418842208743,5.191335061089667,5.5328619649192445,6.451034984450191,3.6883797664333153,5.065460700763392,4.873340126322772,6.264106463383446,5.6886382533229884,5.176568160076425,4.477368809921377,4.846222800078841
TCGA-4H-AAAK-01A-12R-A41B-07,5.531859566410708,3.8742684313300706,6.074662391656069,9.210874667987712,5.751417283390458,4.409024556920101,5.286923025403237,4.7449333371962,5.17463213604112,6.47451099029316,5.295629605336264,5.215501255527352,4.68571535388572,7.825918299898226,6.401461269349563,5.5619163810715255,5.301775787867121,4.463023291368913,5.930930576410131,4.7707917600984,4.588777579168419,6.123461010165944,4.561053397760866,4.345309875406478,3.667656186294645,5.6560407288885735,5.20488617397868,2.308099019404681,4.383338155910773,4.6631066488752655,6.294883621304783,6.8546555048678846,5.658340540593985,4.602756235185471,5.409435258940885,6.134115781030198,5.776163017833868,7.434012386790429,5.219012301513842,5.23698331590757,5.730660392484526,6.320337556149513,3.8676544082318327,5.361203002104157,4.605765107586637,6.496811522996891,6.0176985395640665,5.229554112739907,4.868688301897814,4.703016781400602
TCGA-5L-AAT0-01A-12R-A41B-07,5.343932601001262,4.368629227684827,5.469722060390884,8.401521707117046,5.64789238768812,3.7492509248152004,5.322489014621078,4.74515325024142,4.757467463487923,6.46136468725621,5.35400684847927,4.992530730659101,4.033030364249444,7.223155204347569,5.641420237514575,5.034246335495896,5.0946346629609005,3.70469408336133,5.67032080619068,4.476301276806229,4.52720373809065,5.600544882234611,4.514192183142102,4.470475989247193,3.861535584122328,4.967255160520997,4.810884088456633,2.302699832915059,4.600082977281521,3.9303149038810945,5.959740752734265,6.624332990089565,5.161983592315469,4.474909373868036,5.147552294305052,6.086226844574773,5.4406196135484155,7.93444769221636,5.13540463862653,5.035423719368169,5.547600908643961,6.364791412158895,3.0855383583796314,5.1883769105803506,4.390404932262329,6.304702128309224,5.547388138500594,4.743439225104234,4.5953446875396375,4.726092808152539
TCGA-5L-AAT1-01A-12R-A41B-07,5.5694772575418465,4.984007840497741,5.6944620881394945,8.052729486710586,5.591402666529991,3.976379224313803,5.4219423957674255,4.627727594670011,4.809702983035662,6.318070964422241,5.619334620933975,5.024549274245813,3.7958235247275347,6.876333155985341,5.2654100155475865,4.769340075872551,5.314113472263591,3.410449262683023,5.601538886576179,4.805828612479883,4.5316806040729,5.704084881538466,4.791096413999549,4.88151892672376,4.354415484009616,5.912410761660945,5.694839665340981,2.663704960280093,4.7069550316936475,3.771287893741559,6.139428680576882,6.626108218521345,5.258153351524926,4.207258828324293,4.676048915630794,6.313042330034681,5.7053801536011735,7.923635194911263,5.248989897401554,5.080410301095765,5.713617437512132,6.8382934792061,3.163797924030374,5.073820386608884,4.912265587283378,6.282606650089795,5.513283889090454,5.130210616384263,4.5423991107426795,5.06883864241021
TCGA-5T-A9QA-01A-11R-A41B-07,5.5598695377236576,2.873736743415924,5.9948636697361835,5.334716016460287,5.026102069426567,2.920398650501594,4.581602230639506,4.6404121000414165,5.8694531199059625,3.9882703148321967,3.9919787511776263,5.383650277258614,5.0161436719283055,4.404082210941711,5.780419570017271,5.39822369354555,5.440795101279304,4.99697589761173,5.68943306904601,2.7643983839325803,4.309536465516971,5.30555719184981,3.696804627954165,3.5489337791645252,2.4888570278158992,5.381501980329902,4.565874066650897,1.260719753548081,3.318924314917618,4.906110057759832,6.622994182074365,6.904477291682436,5.966923149214976,3.2768884653976262,4.27791700530202,6.512154855834778,5.1489529529661,8.59722553461754,5.181769155723183,4.844521720519289,5.834657904726794,6.695635284585199,4.634538016171368,4.580611581072797,3.6699738186313455,6.6947843963370985,4.0472600654951565,4.613639931079323,4.074899814222355,5.0435045640321965
TCGA-A1-A0SB-01A-11R-A144-07,5.404608748177429,2.7374388945573256,5.427923294655343,6.480697995196977,5.958793300997557,5.499763778842914,5.154673519652787,4.3964646064348365,4.804800188469375,5.189122882564638,4.481921350857666,5.101438390725106,4.546702722540471,6.583742043997639,5.4699123525894295,5.413781184185252,5.279913152092979,4.256868154322215,5.840907833675723,4.722035332040499,4.709574468563272,6.209444371878142,3.3908777356511455,3.6685250895199455,2.690920397282005,3.2429845589782933,3.403973753516551,2.3981163323910595,3.026724391635149,4.544790311721576,6.109177095143533,7.100818701931166,5.748528614978701,4.519408932070306,5.978517054113179,5.966542903214218,6.258880581363995,7.14637089858176,5.046099907506904,5.367046899280329,5.893116678722138,6.283554886125092,3.5057912286445525,5.784033983992053,4.670925949361191,6.406521465310532,5.805332215593925,5.312000922716617,5.613238371095405,4.6095507289359965
TCGA-A1-A0SD-01A-11R-A115-07,5.676323298794918,3.979898342394373,6.446639123373414,8.466791782910025,6.127364673934662,5.43989077463747,5.4743415815540795,4.842391477171216,5.480239974820913,6.6689527217615,5.488477315132354,4.889723803222197,4.325996514932567,7.301444278272006,6.476783385232869,5.950942259703981,5.39321530714752,4.254407226551135,5.9173524872385554,4.94009094882858,4.487886333885843,6.15210180096212,4.4687211243996865,4.655243501081608,4.002178144049278,6.395150572486543,5.801651554876885,2.732869027232531,4.545161521390826,4.624917851076022,6.385386543724322,6.578072201241042,5.193620951696958,4.721465782260041,5.532648163027413,6.077927819675935,5.86261271372895,7.6724114223296,5.415845257259289,5.317570741565938,5.90342400929039,6.613976076865026,3.781439588345025,5.550466474266408,5.096824894881539,6.403497950080135,5.926731391845716,5.659300022711745,4.914279746945069,5.116871937818669
