patient_id,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
TCGA-3C-AAAU-01A-11R-A41B-07,5.404322743717261,3.0016542463950286,5.830767941029088,7.581154060500174,5.477415090103132,4.52216108810925,5.157277870921813,4.913534469464157,5.319116646326298,5.3630530337186455,4.6639894083296065,5.313028329322262,5.164249441217593,6.216251911956042,6.417412654755175,5.631840983199067,5.030838226998898,5.091336276830709,5.961533014364325,4.246714262982805,4.599536951350668,5.644224127092485,4.007149969480437,3.7922604365956247,2.9402505637149265,4.425766745511091,4.14662409357343,1.2886083175390641,3.665629873830828,5.115927637100146,6.539910354788647,6.752877063691351,5.535189553103804,3.9281412000797777,4.676410531960674,6.194699545205729,5.530041930577441,7.476134664101604,5.320170619514089,5.227117924167014,5.849813983654932,6.278644844465221,4.502626881078375,5.037917672336746,4.077224182937467,6.553386003862064,5.073626467915575,4.696418631631476,4.477572311289487,4.497964183310488
TCGA-3C-AALI-01A-11R-A41B-07,5.651292379808279,4.364290728331192,6.135677481714689,7.5388512225325295,5.489131645803893,4.775989436874396,5.2336775414106205,4.449029660695771,5.7012548044137885,5.841304745965401,5.150553661180812,5.245015744007257,5.2196165646816235,6.58426280103768,4.224520322666684,4.904441491596421,5.329217527698911,5.2311854921614644,6.010739050397031,4.305510556369668,4.364505365440227,5.909644392879123,4.211799973959912,4.4059386079652985,3.8927400668841856,5.305677247509978,5.1477240790779195,2.9337191589797906,4.233625509699554,5.204388673071139,6.726676605273522,6.612922028965253,5.212005498017067,4.305308319685127,4.7979796936022705,6.231807261757627,5.181330581773084,7.044266310841777,5.047473047237953,5.213374082130191,5.446333234226371,6.69335253807831,5.052477228648085,5.116862738858175,4.425242644868674,6.145085218551308,5.139860168899669,5.3020915593516635,4.121904933554287,4.532808751504594
TCGA-3C-AALJ-01A-31R-A41B-07,5.674563911399384,4.036443538332373,5.365410618853377,7.874165257643716,5.211218055907884,2.823600833326553,4.879078973899258,4.368537702432364,4.9258134963763816,6.136228041404601,5.059876005176496,5.0962078561269735,4.882294596623706,6.645824726393524,5.292056292998364,5.1543054854208235,4.82895473055549,4.871583771436624,5.647647076682583,4.1496535974356314,4.278696119677818,5.633357218098248,4.200594511170271,3.9572832301053573,3.5614479282856384,4.5446925814201276,4.487671686538145,1.6077856011404035,4.4193860311907125,4.797352100356235,6.2614701954164165,6.684482025097706,5.523261220682497,3.906963642252616,4.504985087992297,6.123550214369201,5.2770011044547305,7.541641148285813,4.960667388139295,5.023740119051103,5.506251164707092,6.752699890045956,4.527859846914198,4.962611309309602,4.221573619567687,6.148446673572899,5.1686258434595524,4.985640949759204,4.288240920291948,4.474152537280412
TCGA-3C-AALK-01A-11R-A41B-07,5.317021655576633,3.921846364154658,6.196625789331442,8.228068588319275,5.795070153812318,4.415552375151877,5.310679319516735,4.632280764698491,5.632053543117332,6.196448158305826,5.260665290066966,4.933860150268558,4.398602725167555,7.425107665164236,6.139439413916045,5.709413814233942,5.131553321188755,4.24420666363552,5.7161461027758795,4.702877276469426,4.312026346970319,5.848710601949465,4.2469853443608745,4.340445806402927,3.8730900519940525,4.7512412091936955,4.638112688506865,2.2648471505633525,4.352555640125105,4.418264177915289,6.297723869339596,6.626950812865084,5.15474363698633,4.5257912016402635,5.2306410401641115,6.060802351176318,5.704578414419599,7.675353907068566,5.149418842208741,5.191335061089667,5.532861964919245,6.45103498445019,3.688379766433314,5.065460700763392,4.873340126322772,6.2641064633834445,5.68863825332299,5.1765681600764255,4.477368809921376,4.846222800078841
TCGA-4H-AAAK-01A-12R-A41B-07,5.531859566410708,3.874268431330071,6.074662391656069,9.210874667987706,5.751417283390457,4.4090245569201,5.2869230254032376,4.7449333371962,5.1746321360411205,6.474510990293159,5.295629605336265,5.224415185353859,4.685715353885722,7.825918299898226,6.401461269349561,5.549948329553964,5.30177578786712,4.463023291368914,5.934179006935121,4.7707917600984,4.588777579168418,6.123461010165945,4.561053397760866,4.345309875406478,3.667656186294644,5.656040728888575,5.204886173978679,2.3080990194046835,4.383338155910774,4.6631066488752655,6.294883621304786,6.854655504867883,5.658340540593986,4.60275623518547,5.409435258940884,6.134115781030199,5.777140859996443,7.434012386790429,5.219012301513841,5.236983315907571,5.730660392484526,6.32033755614951,3.8676544082318314,5.361203002104157,4.605765107586637,6.496811522996891,6.0176985395640665,5.2295541127399074,4.868688301897813,4.703016781400601
TCGA-5L-AAT0-01A-12R-A41B-07,5.343932601001261,4.368629227684827,5.469722060390885,8.401521707117041,5.64789238768812,3.7492509248152004,5.322489014621078,4.74515325024142,4.757467463487924,6.46136468725621,5.354006848479271,4.997700928357569,4.033030364249444,7.223155204347568,5.641420237514573,4.991309674674265,5.0946346629609,3.70469408336133,5.671848552285016,4.476301276806228,4.527203738090649,5.600544882234611,4.514192183142105,4.470475989247193,3.861535584122327,4.967255160520997,4.810884088456632,2.3026998329150614,4.600082977281521,3.9303149038810923,5.959740752734265,6.624332990089565,5.161983592315471,4.474909373868037,5.147552294305052,6.086226844574775,5.439391186862118,7.93444769221636,5.135404638626531,5.035423719368171,5.547600908643962,6.364791412158894,3.0855383583796305,5.18837691058035,4.390404932262329,6.304702128309226,5.547388138500594,4.743439225104236,4.595344687539637,4.726092808152539
TCGA-5L-AAT1-01A-12R-A41B-07,5.569477257541846,4.984007840497741,5.694462088139493,8.052729486710579,5.59140266652999,3.976379224313803,5.421942395767426,4.627727594670011,4.809702983035663,6.318070964422242,5.6193346209339765,5.0308524300872515,3.7958235247275347,6.87633315598534,5.265410015547584,4.726412212774337,5.314113472263591,3.4104492626830236,5.603438122342911,4.805828612479881,4.531680604072899,5.704084881538467,4.7910964139995516,4.88151892672376,4.354415484009614,5.9124107616609445,5.694839665340981,2.6637049602800933,4.7069550316936475,3.771287893741558,6.1394286805768825,6.6261082185213445,5.258153351524927,4.207258828324292,4.676048915630795,6.313042330034682,5.706120973727626,7.923635194911263,5.248989897401553,5.080410301095765,5.713617437512131,6.838293479206097,3.1637979240303733,5.073820386608885,4.912265587283378,6.282606650089794,5.513283889090457,5.130210616384263,4.542399110742678,5.068838642410209
TCGA-5T-A9QA-01A-11R-A41B-07,5.559869537723657,2.8737367434159236,5.994863669736182,5.334716016460282,5.026102069426566,2.920398650501594,4.581602230639508,4.6404121000414165,5.869453119905963,3.9882703148321976,3.991978751177627,5.386135561616522,5.016143671928306,4.404082210941711,5.780419570017269,5.376307503588591,5.440795101279304,4.996975897611731,5.691703996997461,2.76439838393258,4.309536465516972,5.305557191849812,3.696804627954166,3.5489337791645243,2.488857027815899,5.3815019803299045,4.565874066650898,1.2607197535480825,3.318924314917619,4.906110057759833,6.622994182074367,6.9044772916824355,5.966923149214978,3.2768884653976262,4.27791700530202,6.512154855834779,5.149013584709177,8.59722553461754,5.181769155723182,4.844521720519289,5.834657904726796,6.6956352845851965,4.634538016171367,4.580611581072795,3.6699738186313464,6.694784396337097,4.0472600654951565,4.613639931079322,4.074899814222354,5.0435045640321965
TCGA-A1-A0SB-01A-11R-A144-07,5.40460874817743,2.737438894557325,5.4279232946553435,6.480697995196977,5.958793300997557,5.499763778842914,5.154673519652789,4.3964646064348365,4.804800188469376,5.1891228825646385,4.481921350857666,5.1111380082942865,4.546702722540471,6.583742043997639,5.4699123525894295,5.418752288934699,5.2799131520929805,4.256868154322215,5.845053969513338,4.722035332040498,4.709574468563271,6.209444371878145,3.3908777356511464,3.668525089519946,2.690920397282004,3.2429845589782937,3.40397375351655,2.39811633239106,3.026724391635149,4.544790311721575,6.109177095143536,7.100818701931166,5.748528614978702,4.519408932070305,5.978517054113178,5.966542903214217,6.261916330532345,7.14637089858176,5.046099907506903,5.367046899280329,5.893116678722138,6.283554886125089,3.505791228644551,5.784033983992054,4.670925949361192,6.406521465310532,5.805332215593923,5.312000922716618,5.613238371095404,4.609550728935996
TCGA-A1-A0SD-01A-11R-A115-07,5.676323298794919,3.979898342394373,6.446639123373415,8.46679178291002,6.127364673934661,5.43989077463747,5.47434158155408,4.842391477171217,5.480239974820915,6.668952721761502,5.4884773151323545,4.898700865124219,4.325996514932567,7.301444278272005,6.476783385232868,5.95687546870891,5.39321530714752,4.254407226551137,5.920962489369962,4.940090948828577,4.487886333885843,6.152101800962121,4.4687211243996865,4.655243501081608,4.002178144049277,6.395150572486544,5.801651554876885,2.7328690272325318,4.545161521390827,4.624917851076021,6.385386543724325,6.578072201241041,5.193620951696958,4.72146578226004,5.532648163027413,6.077927819675937,5.863609295241913,7.6724114223296,5.415845257259289,5.317570741565939,5.90342400929039,6.6139760768650255,3.7814395883450236,5.550466474266407,5.09682489488154,6.403497950080134,5.926731391845718,5.659300022711745,4.914279746945068,5.116871937818668
