patient_id,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
TCGA-3C-AAAU-01A-11R-A41B-07,5.419450873357429,4.206517843644488,5.280144480811739,7.628600089498424,5.786931679237269,4.493788386310513,5.256735715642784,5.285245498122117,4.990633354068281,6.3747494068543,5.145608271879829,5.543798729088456,5.680080144093286,6.618915023024253,6.702846151350029,5.885491962327736,5.183859455193269,5.517440466928097,6.089531179146791,4.191633174295178,5.214215780884194,5.420320305711857,4.927350262237241,3.4249299200913796,3.0323315957161707,4.192529392253199,4.34707630706297,1.4073501280637286,3.4741216098358643,5.463820550739104,7.370133277194641,7.328071037574808,6.405410604034664,4.421509139914052,5.139336467123226,6.08645038695098,5.800206651509451,5.573544866801783,5.319690483656603,5.01897586678448,6.034325382806688,7.185966326132936,5.17145772784365,5.4798159173248076,4.132832372128241,7.5145701869389345,4.873615588479365,4.1261382660334665,5.195705038465691,4.914769693121643
TCGA-3C-AALI-01A-11R-A41B-07,5.675949047607947,5.495609333368765,6.131822672850222,7.249410727852594,5.612297225725198,4.651445660270355,5.486269061930054,5.191225852450507,5.91848514130654,6.839167590016399,5.716557751651363,5.183813815164164,5.577544001344915,7.045325634091475,4.725443400103141,4.327646065798823,5.527305614862943,5.312405840762681,6.233933270027043,4.083455759471967,4.775329368039038,5.909386467036657,4.520513637600858,3.661108453284461,3.373536235757642,5.6032345738901865,5.4662957620867045,2.730336895746641,3.9635369739897177,5.377816583873875,7.422268734937664,7.015583016080519,5.699411981593527,4.663575717060438,4.805125323202728,6.076107794576336,5.331904800942478,5.3404532576857155,5.5838263266719546,5.128661557566222,5.85091875582951,7.628364222057415,5.072111872746025,5.719163815650951,4.374555640627284,7.0655811762321665,4.966087156799616,4.861749710259178,4.5731849728394405,5.093540588870133
TCGA-3C-AALJ-01A-31R-A41B-07,5.642797962548794,5.212181797219155,5.060827310128853,7.718760261600756,5.6368131420908325,2.71333548609467,4.951296133985995,4.921998190647647,5.365718761432203,7.042028732662333,5.586748305798652,5.262172734093049,5.349888719893416,6.950557923594631,4.9659190785926715,5.0310611839228185,4.926400793400947,5.29010681746681,5.74207479202733,3.986160852720334,4.7889045171886435,5.565575541171942,4.5444317252572,3.147843352788487,3.1483754441632947,4.820083969887762,4.826347810815411,1.4553003151152777,4.167251488769523,5.116068389879068,7.162399131132182,7.195777451456094,6.185350546592091,4.536736266187716,4.708685977233256,5.959952638567404,5.587543239635159,5.211538895970342,4.953917948062805,4.860383413230813,5.7795311280153605,7.554110743068134,4.981235617422838,5.688030519963004,4.169535349359835,6.9886194039394764,5.232379678317787,4.568711549768004,4.858594587420781,4.79359954436944
TCGA-3C-AALK-01A-11R-A41B-07,5.393597358397956,5.11155605222734,5.979304954305084,7.733952877817348,5.988080884422552,4.38249948991543,5.424894813455725,5.152287107004306,6.210026099993089,7.127721211066007,5.810732503582715,5.0946285585519755,4.959318945434278,7.843660302289473,6.1632345356937615,5.9300650694311265,5.374653400436836,4.783845749390781,6.115794870097633,4.567591887147122,4.887865321846295,6.2083792964049564,4.7785699294284205,3.8712473226039137,3.7984883025999814,4.725898333906077,4.9152687720907595,2.1936774764090865,4.140050540088534,4.973273820599862,7.082832169050405,7.145281863542108,5.922081890285406,4.907383177544429,5.227475841297991,5.921437373639679,5.903066578421957,5.478909486241262,5.43676682975504,5.186252491200682,5.952309526504554,7.1569213911582095,4.217886106226859,5.6999948602296335,4.963323413081156,7.418765286184894,5.510066117708336,4.803175781238702,5.065681764711469,5.179903008993722
TCGA-4H-AAAK-01A-12R-A41B-07,5.419289492242612,5.134576034325624,5.991682694977795,8.996190855896108,5.838765839658841,4.353269775683556,5.312291184730793,5.22644112493402,5.529428181278033,7.486311315977843,5.756785616165814,5.463190438917236,5.256087110559216,8.152102219319483,6.618135867013851,5.804124998985954,5.390065367919263,5.071384827023402,6.1308122364775395,4.703929097198872,5.253226562279156,6.254469137927369,5.40935921375985,3.613334798751082,3.5811923484627544,5.368082729017948,5.199628011477885,1.955051956137773,4.099129836100602,5.181171550783466,7.175194193753524,7.388110228762724,6.531583046819846,5.038156026654395,5.531437588869753,6.053781313781761,5.96883376210822,6.076487272473255,5.373941293368657,5.216086178665982,5.972517295585524,6.929199570272257,4.4244290654429905,6.005510638200218,4.664197135589692,7.59883831777171,5.798520145203068,4.8088885742903384,5.60577623866718,4.89240308874597
TCGA-5L-AAT0-01A-12R-A41B-07,5.251820438189412,5.575818373615751,5.118904089714317,8.13797662783467,5.828978978537587,3.717270474409105,5.360163349632264,5.268842714717717,5.0368967295803655,7.300530238515432,5.763185891265622,5.091104182011644,4.608750933283003,7.5325907658419275,5.895242278963809,5.1232638962389565,5.167774664366498,4.368305445622789,5.985423003262211,4.4262566668518,4.87915525384255,5.690453193620709,5.036274922695062,3.778535999874061,3.631133648605375,5.055896953512571,5.028549424532068,1.7108732771736563,4.343959845436057,4.693737535269474,6.587035397947882,7.0931689828914415,5.786884778881855,4.988044401767647,5.029650149667338,5.924876608308518,5.695782356761842,5.8470799330038155,5.2390905898735,5.017831071053881,5.800993248159156,7.109581199191274,3.9382053640169494,5.8743683400421505,4.402902337052648,7.487295893389553,5.335186248376413,4.414861835361935,5.24534010394308,5.034337002679104
TCGA-5L-AAT1-01A-12R-A41B-07,5.553920292781389,6.218296724563415,5.904335273219899,7.7635808231864365,5.661862873289136,3.9135292756424938,5.530278432789973,5.254492448156189,5.594409795054475,7.281366262501742,6.111982833964078,5.145869803198479,4.455259301432435,7.29369135442274,5.6704935336912605,4.430743468347937,5.394273365458791,4.17295376173652,5.8800541786461515,4.703259430883802,4.965718517090409,5.940280407735524,5.132855417348942,4.115184617099512,3.942753090287717,6.223908052340087,6.062762565717118,2.849478246580324,4.393103043800795,4.62324486519457,6.995520946753656,7.057223261287851,5.852919672522287,4.697252116985679,4.61320552622157,6.1377161186267735,5.953116677544167,6.042644462293396,5.498871858761144,5.012040013252412,5.850226966726954,7.453801272731239,4.008404573345664,5.620654607621247,4.8360590310548695,7.394832623121733,5.315968122066922,4.82283516576251,5.255667319624779,5.5317420894913445
TCGA-5T-A9QA-01A-11R-A41B-07,5.428467481549982,4.163460482660411,5.5617068848242806,5.7993782723488705,5.5377254226278305,2.760960155178928,4.794318805391324,4.749438939145986,5.463610510241599,4.810997535201438,4.490882027248733,5.6789819796498096,5.552374094784578,4.78958971412776,6.172577455047912,5.087442255422153,5.506943907196851,5.387962817786764,5.724550244423324,2.4994207134776554,5.105885726358108,5.004413613372145,4.596177095307252,3.073943668416168,2.592537981707561,5.046685469066184,4.567019324207777,1.4942074525849063,3.2563490367538597,5.224085729427851,7.353546762655453,7.332967194473447,6.243323544078267,3.581414651644963,4.767581079730338,6.392144029730848,5.55737235745939,5.200517570973341,5.30500605626772,4.6476936821019645,5.958620225021258,7.3009978430210305,4.881603957783458,5.151260228333318,3.7181067602312083,7.636791628216162,4.002032863271625,4.369678914346113,5.008336733635552,5.156922034664651
TCGA-A1-A0SB-01A-11R-A144-07,5.487541283002061,4.144646098378395,5.261853053352385,5.610490171934628,6.406813393827943,5.5730859730121525,5.3883588887635785,5.182544778133824,5.744531036481142,5.84661217515664,4.666313205253188,5.670099047953736,5.11926990508929,6.5781729338519686,5.805902611482362,5.409026754875674,5.482200625267795,5.019335241349784,6.3616977746737495,4.6650562064701235,5.153023227555305,7.154087684536953,4.695553083605737,3.236353275660776,2.9560957752860624,2.777945208643094,3.913321164284334,3.1204881514562075,2.708340001131013,5.162621553107528,7.128434286399971,7.706077509189127,6.771535139911597,5.01588025176396,6.505929272479898,6.059343109391184,6.725527252889499,5.291228528095897,5.70768489988843,5.5846134762751,6.428041564038795,7.001435950204536,4.352695208493003,6.126239715201389,5.077921105343242,7.011653211441796,5.610163255322955,4.846364935972102,6.637032949568552,4.820637812220776
TCGA-A1-A0SD-01A-11R-A115-07,5.701780703655109,5.124406389231488,6.313335199323937,8.258848612854933,6.360122521502721,5.293259899658402,5.624568463455766,5.35103538823649,5.832035199763653,7.582432723957208,6.023096670489945,5.137314301899296,4.887857918550323,7.689644579184625,6.447824761224846,6.122760051882296,5.690549402720848,4.908675079672707,6.166973733281348,4.870025251919104,4.99602858978847,6.488514981354691,5.296864707207313,4.063831151223978,3.851783219795504,6.017540613687811,5.764607278433277,2.784975217300807,4.296421382632434,5.18076540780383,7.226685210819001,7.134162589109725,6.161286300941861,5.081957961624253,5.644179509157045,5.988574453939601,5.883787072482186,6.043322912193659,5.64055534073404,5.316773434673357,6.328609277344121,7.348175926909159,4.415942269458425,6.097202492990674,5.362332580174375,7.529074787632136,5.835904158501777,5.320631719154469,5.540126463609367,5.397327049534496
