patient_id,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
TCGA-3C-AAAU-01A-11R-A41B-07,6.000336078411857,2.6118167124310894,5.8327531415463065,7.873919785569585,5.565317212767877,5.483371195718436,5.142228972966143,4.846815170035832,5.272054443736033,5.466301505842194,4.50056740039304,5.366206558167229,5.097293351734696,6.258332263570894,6.228690739248674,5.866380572772435,4.966636672148243,4.955313492698932,6.164443294284481,4.159360847908804,4.851484659454172,5.867758538237857,3.469772990281033,3.810246599386369,2.956616753656287,4.390436841632443,4.170190757993508,1.2005858019504037,3.6334678325090732,4.928262169111361,6.9488440222759795,6.9537399950872745,5.48919531433073,3.0015183387572804,4.94453864334994,6.196660981084263,5.046792077412375,7.476134664101604,5.276014102126833,5.253094837318019,5.625245369214217,6.209028125900887,4.446464561896071,4.966451183398641,4.002583557388405,6.415727229968633,4.752116455499038,4.434070572914389,4.5204516754820085,4.305638896292962
TCGA-3C-AALI-01A-11R-A41B-07,6.121430700855913,4.06230706246696,6.3440642514651415,7.996554954330557,5.576773180274192,5.246769638660919,5.192655087860394,4.403632852057358,5.619729064592475,5.936876294508379,4.865616364761319,5.300112190713456,5.227997662098759,6.621643666404509,3.981791004169594,5.040423244240365,5.2933735027307875,5.191337766852883,6.383199824366821,3.3506971545203954,4.624250685910115,6.218323012970752,4.0108000534257275,4.506916776606767,4.024363832634185,5.242372088839077,5.08332345384603,2.3420978007572084,4.344302198392177,5.136069450101353,7.034702478630477,6.680211694565897,5.15414155239435,3.532783486029864,4.984240996675802,6.272269071745883,4.938233352050356,7.044266310841777,4.949540452264534,5.214630899593072,5.078634515192725,6.600071879759328,5.104436550437157,4.98577812614359,4.3652932107946,6.031080966444127,4.7118684908637585,5.127008850896378,4.157372636776398,4.4002118818746565
TCGA-3C-AALJ-01A-31R-A41B-07,5.899924589052579,3.7071263056506125,5.343063640789348,8.23267506288019,5.251159607088474,4.062278953784902,4.879186322658347,4.226929617524184,4.852630757760358,6.400470721101355,4.889940397452032,5.143366418390013,4.872098651997207,6.710987382284823,5.306640271505271,5.428383290667283,4.788882901803685,4.776608304401521,5.7970196422390226,3.433243710472966,4.683000692229351,5.736773045902294,3.86333868615632,4.067421780574145,3.655905783245725,4.482479141248043,4.355243244054976,1.8231152077005877,4.501545188325218,4.5939168456440695,6.697385855235266,6.906407185660089,5.489015916841972,2.9484308572449347,4.6363407910237315,6.177409226939805,4.871738855757358,7.541641148285813,4.8382636639723975,5.041363675347485,5.180160237002179,6.720182744230038,4.5188892010309045,4.857997509689106,4.163142348359179,5.9963534643268295,4.614947248519249,4.885771063777118,4.362284123381308,4.156348906421091
TCGA-3C-AALK-01A-11R-A41B-07,5.8416418393873,3.5863145638846463,6.5405713264452645,8.803532602899265,5.869484660775417,5.648735911022276,5.268186309876748,4.487686631487148,5.531960120000719,6.373543823353613,4.971855321225961,5.003618303256644,4.293886258794337,7.462393015439917,6.027004456347312,6.1897052280626665,5.117322203532008,4.053110783860897,5.815285482762805,3.8405510960750413,4.619889084522289,5.613954757860543,3.8879786690304377,4.374182365749548,3.897671577345492,4.706931077429085,4.560834830921908,1.8211120201967432,4.382832274039793,3.9781292873988296,6.681351388467847,6.886750026115853,5.12162476486554,3.5676497759087384,5.2636061134308,6.100654722618157,5.321993797086586,7.675353907068566,5.05258906225216,5.198002401170955,5.151756456461229,6.4274894115672385,3.6062743804356012,4.972237218799622,4.734388667025703,6.128152293870808,5.213764896927749,5.185027279362376,4.468389462211993,4.702782908044238
TCGA-4H-AAAK-01A-12R-A41B-07,5.992307123636684,3.514156605583736,6.104644318940412,9.7225221505001,5.849071221405642,5.602696035365463,5.2354672717436594,4.615552495190679,5.079538619024979,6.638055484084304,5.076011963213057,5.291073710928263,4.552226774597098,7.895465648630082,6.2658550248691185,5.991060808101046,5.306232076372691,4.258375670530978,5.992515081527808,3.7898078644148696,5.00561364482762,6.046316652942065,4.028250568535698,4.4163370396290995,3.7176512178700714,5.6368510957563975,5.358854010481832,2.0039648141467947,4.437989741432588,4.199771072295952,6.764779768189405,7.133610966319105,5.624203522057003,3.646567440058602,5.40147491641555,6.145130253544957,5.4214695798006485,7.434012386790429,5.180351567090596,5.254212731483628,5.420512277240008,6.310853809691303,3.7915890004603847,5.2734780701955435,4.509382564854874,6.321767507817229,5.424204463361316,5.083575014637659,4.837689467049533,4.5167219029009225
TCGA-5L-AAT0-01A-12R-A41B-07,5.883980364774551,4.02668824464598,5.404375136951954,8.936735145764501,5.7112670915582395,5.297380491045788,5.302312521244998,4.599590650413584,4.6913328467598605,6.605844345833721,5.055875719571986,5.119402579271875,3.840562319976739,7.26854035583831,5.581888086082458,5.699260636387068,5.086510969305625,3.4353955599061754,5.772619549077824,3.6042084432657306,4.788081029705877,5.576049193303326,4.147909244224578,4.555743163195738,3.9305547547781323,4.912613608804207,4.71575707414709,1.9712840074440965,4.6797389241379745,3.2785024956755526,6.475058032829391,6.957282488273252,5.144170174480624,3.5592595671664546,5.286229837384064,6.133367898086979,5.111801294442266,7.93444769221636,5.102455470102127,5.042928918076663,5.249056167668193,6.316735242310112,2.947929935095783,5.078582643862387,4.371376122933373,6.162681880267564,5.0755775567217905,4.570240235851006,4.592012023137285,4.48092596634583
TCGA-5L-AAT1-01A-12R-A41B-07,6.075866390656101,4.642853602213419,5.542822036110863,8.539271450959253,5.6341006077150135,4.960050506136801,5.401201753247168,4.464724424210716,4.692281179788413,6.338005540073001,5.244028474795747,5.227119821568554,3.575913077899033,6.913387926811945,5.03203989796873,5.3340457121170495,5.3017890499282325,3.1209969053316846,5.915207106233463,3.678955059486894,4.955825531715301,5.725008703393594,4.578202713714547,4.9765149081609685,4.456869167385887,5.832948745169065,5.618220516350048,2.6322386022027673,4.85521692016005,3.042332471209883,6.65033453724694,6.966888501504087,5.242714377202953,3.267011810013121,4.919384672966106,6.355117662311693,5.303724279005469,7.923635194911263,5.188072003236462,5.096417091210584,5.43727856328984,6.805034612597347,3.057537313111654,4.961258505745741,4.865536945694588,6.149009422713719,5.063451656517267,5.176186308855974,4.486553500872441,4.908952120156165
TCGA-5T-A9QA-01A-11R-A41B-07,6.275784217508407,2.441009612790671,6.366648962251323,5.261617313423344,5.059489519865443,3.7593917223682585,4.597436444058439,4.7627220207455325,5.849826074951924,4.1343503985945675,3.8473057232859977,5.485839003705813,4.9543633641943545,4.454357804883857,5.482495070460083,5.66827589619759,5.436363411754099,4.892004336867951,6.133955438364303,1.6105949432921487,4.900779899344087,5.8586943186116835,3.213938188031831,3.590783629116021,2.4636985136325893,5.367990617153957,4.787007132587342,1.1540642711736346,3.393509420065363,4.7503223568578,6.9185947564779005,7.129290838494777,5.9384238200254575,2.7036069281365913,4.5602313902351375,6.5398789966701205,4.6301959805048245,8.59722553461754,5.162882351894828,4.864829665691112,5.53664954957562,6.649694166326573,4.659105945432173,4.4114840199911205,3.5974051839579655,6.564802978491957,3.9196177146785502,4.4939369683358725,3.974208266235905,4.91016231282085
TCGA-A1-A0SB-01A-11R-A144-07,5.768873000642685,2.27922124814375,5.0738039758960465,6.896417838902775,6.050056339873251,7.479797128923791,5.11268815148613,4.2871117665380245,4.685432892872886,5.358755575102706,4.272148696805622,5.246108358482962,4.354094484533163,6.630219971016556,5.522979226847856,6.208158514044106,5.260783633373424,3.975792290377084,5.774761183206951,4.021926777441111,4.64051700391122,5.745702651908402,2.555721762037514,3.72492446003252,2.7474508416803776,3.2464297928564525,3.2806278444384653,1.3341963590615484,3.0285730097424146,3.9320451058009427,6.622058608947705,7.51398846546173,5.710773178090509,3.592588269309922,6.066498245493587,5.919333385279824,5.684104786796429,7.14637089858176,4.949923135006165,5.364441695728626,5.4893667509966555,6.2391218851808965,3.30711457465772,5.681900968142703,4.390200464820177,6.319315181151994,5.420307477618197,5.381007972476958,5.513868050538269,4.587347269389158
TCGA-A1-A0SD-01A-11R-A115-07,5.904842678704985,3.6483015554628015,6.5887710717867884,8.876218084923638,6.191996912194407,6.002205708818212,5.45649589337952,4.703094099563743,5.382897646973929,6.87745781845864,5.184424442329187,4.984751408614129,4.186145761685084,7.329710272784417,6.288640493448149,6.607475229031409,5.346120700749709,4.053602001496283,5.958135605954997,4.399610382191697,4.67737301585197,5.899440514924565,3.8787229945694968,4.72316461804021,4.059303190160071,6.392143832720206,6.018591522839874,2.4160611658704405,4.62975519268111,4.128273560431129,6.7213007377297656,6.853804580980306,5.150776353955446,3.859411135867458,5.595906809754664,6.074188633413198,5.565126739745113,7.6724114223296,5.326493383333024,5.310343270904139,5.564526196623462,6.554351633571422,3.6472753508785636,5.484883238660086,4.958741816751707,6.272450672460609,5.516441766139468,5.67288346972374,4.959462153068433,5.08474714637541
