patient_id,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
TCGA-3C-AAAU-01A-11R-A41B-07,5.361571562079904,3.344377340616164,6.148280742022494,6.605868655197029,5.312235391437935,4.774580735265146,5.096542977812062,4.558001536624773,5.377401621969546,5.39421320479256,4.640529895753741,5.385313730473613,5.27088144736169,5.978090716343645,6.231562392387706,5.251853760484173,5.159769385622003,5.241083325918943,5.8219192676203475,3.8003445768868303,4.574271439405018,5.4090224336881745,4.42052555571801,3.7994838190266003,3.1228740258461496,4.396768762401791,4.173857916336829,1.16602106048358,3.7117199454070415,5.265101759936092,6.406072123256719,6.7611361534200745,5.5393372486327905,4.061079723173843,4.572142006230676,6.169622686706733,5.371844323108355,5.573544866801783,5.165030263163452,5.219773294719073,5.793649471016333,6.344202777839551,4.0050984584516405,5.168843844682207,4.141059705633424,6.653185088084658,5.006502448025114,5.105905872385748,4.49001811571998,4.461102306221422
TCGA-3C-AALI-01A-11R-A41B-07,5.578079758338152,4.559860086230109,6.3132364949992095,6.5458508597333545,5.3182396196667,5.187021921962017,5.1754419288769125,4.285997806568238,5.760003660955567,5.732142230431964,5.121648956098186,5.340967050798879,5.291852030987305,6.334067077385199,4.553650243453117,4.705185736180769,5.4118718493402715,5.2840684902786546,5.794419659909212,3.5460162087074,4.322818795173163,5.632550756474082,4.4709094886544625,4.3780992974753845,3.8781673613600476,5.336303104888409,5.22570703618499,2.845875353522736,4.223436361960766,5.2233564536015,6.591065320778397,6.634094819418289,5.242614229722681,4.363147624306273,4.68240588992809,6.178117684434363,5.108753726676925,5.3404532576857155,5.085253869550758,5.221970317634008,5.433969265004456,6.749927308588435,4.126306931167922,5.228980037836466,4.459490281274067,6.291620599916082,5.058868654239694,5.3499398141464685,4.13039495527288,4.521351757210354
TCGA-3C-AALJ-01A-31R-A41B-07,5.577611532866867,4.290740224056838,5.925507351927284,6.804278336422021,5.0581509645174165,4.178507402550558,4.867112466705662,4.102848373426976,5.033784655637919,6.003107204257554,5.000489061551633,5.239021473893361,4.955941719465901,6.372798524902561,5.210271196804246,4.95087259069897,4.952155153748024,4.982067786154188,5.526911795649914,3.7134790701916516,4.0826279628188376,5.439961282616228,4.498856932132253,3.934675624619576,3.630368378885079,4.592136749587121,4.611638362171567,1.4460863076068977,4.28962655436395,4.941384238272565,6.148929885136046,6.669741914634731,5.442255544075791,4.059246542744966,4.432268107503917,6.064836003472529,5.167651072383582,5.211538895970342,4.865912167375453,5.03812952159807,5.412272490891051,6.763270210221776,3.8087493580951572,5.097122166977636,4.315458334313999,6.254608836115466,5.080907797482782,5.083984476651016,4.295315899981195,4.483275126766409
TCGA-3C-AALK-01A-11R-A41B-07,5.301069244086024,4.1758835820594875,6.434460475570783,6.988216541783513,5.598106572362169,4.656753467900991,5.239560347832163,4.473060146282448,5.788834991975244,6.043881813931648,5.1886933119326955,5.039410175749596,4.5531481488522605,7.1892501910499265,6.02813341600671,5.545459334743885,5.2074273789533345,4.491640262552381,5.6393865598885045,4.103930008559771,4.2097864140424655,5.729382655389975,4.497841113862655,4.330470294133935,3.911023780759783,4.75102614156437,4.730113093552409,2.536853813454825,4.291824209007168,4.744464262328109,6.151827797447887,6.609252845796111,5.090188947535633,4.469642362477879,5.175807278831974,6.011444707730614,5.566804851997412,5.478909486241262,5.081880204023472,5.199721421292506,5.568802277157289,6.5069731019675885,3.405144754272259,5.196574298996701,4.920687224877512,6.421884353129699,5.5750295106113965,5.208507449589954,4.494068318457994,4.821324458442528
TCGA-4H-AAAK-01A-12R-A41B-07,5.470260808763254,4.174308694950199,6.564792606955896,7.638255298823066,5.572370793497839,4.822905592187403,5.223076515685097,4.676328478898786,5.462759738597833,6.360799363446961,5.210445558274584,5.313008419565639,4.8523546440228555,7.5518711144234745,6.0759289762235955,5.435579981148177,5.357523911993094,4.698783219303367,5.83528600435772,4.1570317848978355,4.484016312894061,5.9922574518854415,4.79566799523168,4.327375303179078,3.8319297483007118,5.59271898724743,5.1751570649831775,2.703850677354943,4.376146841928732,5.017520598439356,6.204776976938735,6.840874175247049,5.579526281988378,4.553734428792966,5.363292042684562,6.10358622701543,5.647167691414722,6.076487272473255,5.053018796034692,5.246503434444754,5.683548970211359,6.35613782225533,3.625558099235136,5.4723231943289194,4.723753397857396,6.626718319596624,5.9402911738876485,5.314017293500149,4.892264329800382,4.712232640520747
TCGA-5L-AAT0-01A-12R-A41B-07,5.288565716643567,4.602852706226644,6.158327562582536,7.0464388874333315,5.487043346941812,4.481608641029388,5.238549956719542,4.6395115759756855,5.023271964181485,6.349015542367153,5.288012606214468,5.089605343205137,4.231320909420222,6.979889599621345,5.53750079853955,5.061347596366854,5.181931391128555,4.022388793376468,5.579777256861611,4.005587269813164,4.4014669589213,5.473392831198104,4.754972586433595,4.450368152173241,3.9330765518138664,4.997639077002255,4.920765077314033,2.568958826869391,4.476436372326554,4.457587141934454,5.8671240948849785,6.587966658204306,5.09185164631319,4.527906258847872,5.079718603670378,6.0324432344653545,5.370648715273944,5.8470799330038155,4.98167586791515,5.05693611998549,5.4860928068942645,6.4296266545220835,3.1046876929638993,5.323635837655629,4.437855074029385,6.443292659509469,5.456242150660813,4.9922555282983865,4.611861666350095,4.7232858643680915
TCGA-5L-AAT1-01A-12R-A41B-07,5.502863470764791,5.172427734108255,6.458307732747682,6.753325621961637,5.42347609363068,4.58427214614367,5.347478717871459,4.55317364550162,5.210160620213128,6.244650653210927,5.57164129882489,5.116693904768582,4.028658550271801,6.639807508822236,5.30786079291008,4.703269689972251,5.398010681615363,3.7660484709223274,5.442945461344926,3.9822780183782913,4.384670232773065,5.555920609132504,4.896575309666724,4.84695519282569,4.343329891233322,5.95253751475212,5.7667074799969225,2.647137588247952,4.52025507869466,4.345312660010012,6.077765482885159,6.584498217129386,5.12043599340822,4.293602881246443,4.576193365581991,6.262010645864053,5.6132786183472065,6.042644462293396,5.145164044873531,5.10330865293151,5.565777050352886,6.8955337301867115,3.179051154522222,5.191843532559152,4.909204854979934,6.42597255381417,5.402238561106804,5.2561914828121665,4.564679219652398,4.999189771204769
TCGA-5T-A9QA-01A-11R-A41B-07,5.404079495673438,3.2305985824669996,6.448615567223903,4.91846503553596,4.836625101079954,3.905782975718591,4.526246676396065,4.157482284927912,5.598365303451047,4.1444314333362575,4.0442022338445565,5.46733256963418,5.128898373873819,4.230221731813946,5.7866314761814515,5.186553754015017,5.462953447021532,5.135821978558089,5.484967059326537,2.5065929589377567,4.130858891985328,4.954207155400132,4.049725222638009,3.537009316300831,2.683198154339743,5.328353629281321,4.443227072182994,1.2211017618544602,3.277856945039066,5.003004909322041,6.434991329667454,6.901094611653157,5.8817160079780315,3.465940542414889,4.170451065806815,6.465476903313952,5.065259454958487,5.200517570973341,5.086180039681944,4.8395285355948126,5.688335043473734,6.803660031191924,3.87229314798763,4.713446968499615,3.7336408921772968,6.814011568113449,4.017079988271369,4.92703048473956,4.117816606170932,4.808840090273388
TCGA-A1-A0SB-01A-11R-A144-07,5.415399551927712,3.172572189800937,6.095063473333887,6.533614087936434,5.743070624513208,4.0201541728262455,5.0370659401442275,4.270021009849073,5.2121741018760765,5.0727233907095854,4.462913203939912,5.176073018811941,4.745223361912683,6.401065207371461,5.24430817586499,5.049791989664462,5.317626591045424,4.59321469349379,5.788663207951614,4.4157933768388045,4.559925487902459,6.14462067226116,3.9333064901220633,3.667303658306468,2.9203524805560557,3.2299959770046422,3.576487183951629,3.1705006619873144,3.4131692590025478,5.027820169007793,6.009082886886206,7.0651962108135296,5.635949702666763,4.506899564943244,5.84569499677482,5.974074000133127,6.066558714332799,5.291228528095897,4.814337559114616,5.375773042499653,5.934253892126155,6.298563898085582,3.658060367627948,5.868356300949844,4.790707296082736,6.494948814294856,5.745125785490567,5.30733742578842,5.6456149171669985,4.50742108778867
TCGA-A1-A0SD-01A-11R-A115-07,5.670746595570372,4.24821921496862,6.7193338120041295,7.44974400817836,5.914531919936028,5.295705933306208,5.383630037210534,4.776437117933048,5.644439662363876,6.499428044823676,5.438850712464287,5.01052451226813,4.4985800748499125,7.0834844644643375,6.238528217254069,5.621999938779105,5.4992760878884095,4.522677481921132,5.806541784154703,4.432266938260184,4.525830971673995,6.069697007758403,4.8097341540449925,4.633464233137516,4.089422718908293,6.302299025795232,5.713978240605533,2.9042817183027045,4.608314304814497,4.993062454065695,6.298256437799279,6.566622415159204,5.185365065901792,4.747237862229043,5.457903056222617,6.057975064020198,5.713908278392816,6.043322912193659,5.333908935725078,5.337865560133257,5.934198762551542,6.646119150669939,3.521180130268923,5.664958636804919,5.173166277025536,6.564374301087838,5.871180626608578,5.602696011739715,4.917568538522514,5.041453418358716
