patient_id,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
TCGA-3C-AAAU,5.206550389685245,3.60121635273068,5.270149127313929,5.7018635432617355,4.6224048187076265,4.463694552411745,5.3207684243954425,4.227094067044687,5.261713626308763,4.785129909877335,4.280875680413521,5.361527033594381,5.303697666555297,4.982701527078626,5.430711182702714,5.12340184710172,4.843116415373865,5.215354209671564,5.101822591913403,4.235892625175407,5.007237354049786,4.819313127882289,4.229031120634847,3.871549608417722,3.391479288321662,4.747987875631256,4.173735756416539,2.8480659107060844,3.635941385112209,4.963103053852656,5.588200433651734,6.554795725191749,5.392453531073214,4.204116858337537,4.466505698076719,6.032436518857292,4.8564742682543915,4.981648288687424,5.002756360128485,5.171866203189545,5.693882448334218,5.630907127739078,3.56357514150381,5.466912422242234,4.46528880893612,5.908282818518279,4.37819121049507,5.0714881637860385,3.9687272086734557,4.418973070911977
TCGA-3C-AALI,5.215087560740478,4.523770736121068,5.167678359160014,5.5045952322004466,4.749138948195079,4.442787025300659,5.410613698252716,3.9907023445552405,5.6209456441969845,4.99130105113855,4.60248062580452,5.300790774449189,5.277841092255485,5.23602431946604,4.462234860015036,4.531845758588307,5.037094144926815,5.2050015031410535,5.088419048861432,3.667400265775041,4.704976723472449,4.945375143406483,4.481258061517476,4.489739483314507,3.9024661296744863,5.4898823053038575,5.016715580594191,3.0444609647553054,3.923542702241875,4.828832278495652,5.719961519837729,6.4459508785725825,5.1307551971178,4.308518933143173,4.443740886285365,5.971933881033609,4.960844814044978,3.414642370106428,4.907496777692185,5.225938226484074,5.338796243925333,5.807295822884924,3.6139711735911386,5.24493827472371,4.733764227765364,5.6650870645385405,4.328648745852517,5.016794283365826,3.8190305784591065,4.5344448730294635
TCGA-3C-AALJ,5.143066873540685,4.279494773103624,4.994680083624548,5.928861972490606,4.490716719965213,4.374986330540841,5.233880548860213,3.8924358718258367,4.999944893224644,5.103764745035904,4.483387479387348,5.24190552270367,4.9115722014037235,5.403501967675386,5.030401767289002,4.825306356085939,4.871025701047327,4.84917832735924,4.948097420506011,3.5042141670235556,4.4072698016374785,4.878128223355556,4.385156921791443,4.2070675303029965,3.762330904876369,4.991381914835454,4.540111951780788,2.4234392183221583,3.97188308377537,4.5551797487208745,5.340024699094233,6.4054829566402525,5.218078288794038,4.133331830108435,4.245180525446425,5.849789254204435,4.880156530312448,3.164900638464092,4.70017867743555,5.043522861850198,5.256412641927776,5.898507868183649,3.1919721652377686,5.215862779801544,4.681996642504585,5.647599031169475,4.209619998148339,4.867302940686355,3.8714930387561868,4.4957266085244205
TCGA-3C-AALK,5.134445582488483,4.17810834899617,5.446762197676904,5.99447504803379,4.96995379970349,4.513974558665193,5.568285520066935,4.1086067698418285,5.55274659304588,5.259271397161225,4.516694348419605,5.092058081110597,4.656885298318825,6.027562983737958,5.564834931635483,5.371722209689551,4.984071001804575,4.681422176718115,5.011081290623442,3.786045692955483,4.64151110601769,4.999431530750683,4.4883291051011405,4.357829618759061,3.903102644268087,4.970471992716688,4.550876082571422,3.0220774813207054,4.06710424453604,4.5677987990503075,5.426330355264942,6.347757461071218,5.019088107673137,4.475601742775897,4.7801359314256,5.827639443641594,5.1714109986017425,3.5151249513460257,4.879686879362717,5.1004206010837345,5.419101487120807,5.702212251584844,3.166236269913803,5.42753197018299,5.068722898569577,5.716069279097958,4.713242840667971,4.894380475496083,4.1140546621652145,4.704103309394452
TCGA-4H-AAAK,5.325417838482913,4.289720840070759,5.5364251629364105,6.323993164820999,5.05969826100652,4.758682130051831,5.628564059437849,4.242551425444899,5.483043486822523,5.421268281251268,4.657781811580151,5.3199027148006275,4.964371900304584,6.354483813718719,5.527866012303179,5.270346315670937,5.078300650994872,4.898203268135217,5.234405479062039,3.8830225981194806,4.873247199519564,5.348584122699779,4.626293820676342,4.416155607467249,4.15859594143556,5.5314126240512165,4.880158832431948,3.1566254817501473,4.231301409453644,4.871410119660269,5.503199889742795,6.590368145116103,5.480636163314986,4.6799454835952385,5.011555155979356,5.97461708333895,5.174608229427149,3.8157143348286175,4.938661083596513,5.211121796322188,5.545208161097972,5.745619929968953,3.450350853006415,5.663445582826076,5.078313045926278,5.918799752531248,5.123966643554224,4.973861108917353,4.388022602213191,4.724600782426009
TCGA-5L-AAT0,5.155382919444642,4.582692622817901,5.348686088460389,6.148320486988356,4.909346785054088,4.693647559749155,5.565614991652938,4.201893946088984,5.135378311999556,5.454149589132261,4.730325529350501,5.175793119526814,4.473894175181189,5.862973302783708,5.23063757804513,5.100006922275978,5.000447007580813,4.412614160816973,5.013032130012876,3.6788003067470463,4.8381238202751335,4.9915810089772386,4.644452155978616,4.5344266845140595,4.02826664975977,5.313119261614415,4.817261906475028,3.096075072703284,4.284432697548296,4.508746482212453,5.229738889274863,6.3270856315121184,5.049653218893514,4.569784308554476,4.938490968782335,5.871580203087562,5.082267889155964,3.6955198049394076,4.793831850087775,5.06436724335567,5.317406144376714,5.6849758121400065,3.236168576661037,5.549943457699499,4.773790548799217,5.669183039014508,4.6378172058574245,4.857170055835985,4.193362211738405,4.667653563403263
TCGA-5L-AAT1,5.256516678282489,5.0304489799198615,5.347877986591254,5.6662183306686815,4.900956040679756,4.483031985072844,5.585591535124571,4.136852032338009,5.195161642556136,5.378298726138689,4.898849918504793,5.203186506886084,4.298121103910788,5.596679355003946,4.878287913436356,4.6963447123241195,5.1028252111176595,4.289899229536184,4.929203784217762,3.56056063548345,4.8037986136849,5.005548206161781,4.6957932913674,4.870776669939261,4.2936445025802925,6.01244002032061,5.447189551218337,2.971134025710799,4.223911420988916,4.385504000494755,5.390993561925027,6.366148134717754,5.02212750449061,4.368221441667496,4.642086963627815,6.115145859702533,5.179911161353869,3.801531623020037,4.907277051617613,5.186706179156767,5.418182125483693,6.000826814832238,3.2877687101804556,5.376323003034862,5.029612237233827,5.7129086023639655,4.5577841771226275,4.9665341519029385,4.072582747667577,4.763229996961947
TCGA-5T-A9QA,5.07317976549008,3.382605082211589,5.046507086413395,4.331265365548498,4.090954139414865,3.623197637546051,4.973233957340497,3.802960130454652,5.172754277325727,4.155649477450601,3.902658786962781,5.384408259846561,5.096875404416157,3.7215356498440997,5.0114305418036835,4.865988778225943,4.977691063660693,4.9858600113287554,4.9765951458727224,2.653097536489371,4.647144497519276,4.505027758509033,3.959163761709858,3.6030725115313817,3.101510749393821,5.223809810950752,4.201027738881619,2.5313387192583683,3.054177267377006,4.572003955655123,5.5644702059302,6.675341517304765,5.643983085437792,3.698859381031302,4.280832645562166,6.248384518475284,4.784267373863796,3.3256876156788366,4.991755453549795,4.854094289216317,5.422241228388119,5.735455892948817,3.4126633419437526,4.8387038401067475,4.09874385343874,6.060657606835051,3.791249636638112,4.819351139777838,3.6787638186542417,4.518985639515127
TCGA-A1-A0SB,5.125090098369708,3.4012458884730252,5.57817428195403,5.39416362619975,5.017758079438424,4.3846437986789315,5.3260808752820585,3.9660579833181817,5.102935557262644,4.694484214990185,4.147605747153893,5.152365027539826,4.921820735036029,5.660580362908712,4.755150254290282,4.658411503298363,4.90697517017145,4.960224546348559,5.0176572434495315,4.362056993564347,4.817732973159721,5.070337961567538,4.049259151740931,3.8787776088197776,3.398261975829461,4.195231362805787,3.798210098696373,3.306331692870877,3.7890825185067363,5.058936150311318,5.307734752348768,6.725566928146705,5.512012473911995,4.406925679243231,5.30190369867621,5.841630896316931,5.152701726085581,3.3863639880496663,4.714969997130968,5.051485709713762,5.78608126640063,5.52946047306403,3.5635639367570704,5.798367201256771,4.957379028675316,5.835176469524538,5.210960388743425,4.916453676224883,4.955347715994723,4.403421224449691
TCGA-A1-A0SD,5.476353478521418,4.3147388670209565,5.908257337750294,6.606831105146225,5.158566753323047,4.81976293338467,5.71749055009931,4.4095797707612485,5.545981915561735,5.464848682276237,4.878259255115276,5.0692147646512264,4.651953098009614,6.039443670564421,5.583841096947141,5.34979107947498,5.292310544354484,4.773883272978712,5.224853203575909,4.180296516411645,5.045372954028989,5.332851397457145,4.764328673940275,4.695979306149203,4.32627921605181,6.083381130119447,5.285532683942374,3.232237695530087,4.495892202699297,4.869490700629702,5.602986240713343,6.38519009981171,5.038000055597315,4.797509248080148,5.036152746387506,5.970399650505872,5.271790223644493,4.26791468061815,5.089130022369916,5.244925509296724,5.863278487184706,5.770746583185913,3.404435301931748,5.896761593467399,5.32452359222557,5.841243376386478,5.1324272155623705,5.188823088979008,4.404744970388727,4.856645258808223
