"pathway","correlation"
"HALLMARK_ADIPOGENESIS",0.921615762262502
"HALLMARK_ALLOGRAFT_REJECTION",0.992025913351418
"HALLMARK_ANDROGEN_RESPONSE",0.891259242541598
"HALLMARK_ANGIOGENESIS",0.938745008508982
"HALLMARK_APICAL_JUNCTION",0.964768165694625
"HALLMARK_APICAL_SURFACE",0.790362061850597
"HALLMARK_APOPTOSIS",0.97387453216346
"HALLMARK_BILE_ACID_METABOLISM",0.925481218496015
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.840860918671457
"HALLMARK_COAGULATION",0.947779906092684
"HALLMARK_COMPLEMENT",0.976656518694913
"HALLMARK_DNA_REPAIR",0.976896323377254
"HALLMARK_E2F_TARGETS",0.986464163691835
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.983991534645845
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.963181269193555
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.957545187450759
"HALLMARK_FATTY_ACID_METABOLISM",0.946973364559509
"HALLMARK_G2M_CHECKPOINT",0.95160190179038
"HALLMARK_GLYCOLYSIS",0.939078760415458
"HALLMARK_HEDGEHOG_SIGNALING",0.949168366629159
"HALLMARK_HEME_METABOLISM",0.950741098958074
"HALLMARK_HYPOXIA",0.962423270932131
"HALLMARK_IL2_STAT5_SIGNALING",0.912984616755087
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.982948260088174
"HALLMARK_INFLAMMATORY_RESPONSE",0.94929406090324
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.970449866918205
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.961604033208936
"HALLMARK_KRAS_SIGNALING_DN",0.658096260595723
"HALLMARK_KRAS_SIGNALING_UP",0.882738957571354
"HALLMARK_MITOTIC_SPINDLE",0.811819760805899
"HALLMARK_MTORC1_SIGNALING",0.963824814859501
"HALLMARK_MYC_TARGETS_V1",0.990591603318932
"HALLMARK_MYC_TARGETS_V2",0.974723044356019
"HALLMARK_MYOGENESIS",0.962056735453371
"HALLMARK_NOTCH_SIGNALING",0.974922384744431
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.951700303889568
"HALLMARK_P53_PATHWAY",0.919853663444505
"HALLMARK_PANCREAS_BETA_CELLS",0.661401587620484
"HALLMARK_PEROXISOME",0.952612844255377
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.976080740641802
"HALLMARK_PROTEIN_SECRETION",0.983253804529187
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.861713781685867
"HALLMARK_SPERMATOGENESIS",0.677963828377678
"HALLMARK_TGF_BETA_SIGNALING",0.978208677949323
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.958376764049004
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.937952173540166
"HALLMARK_UV_RESPONSE_DN",0.968610311605101
"HALLMARK_UV_RESPONSE_UP",0.886614411279423
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.985791951946124
"HALLMARK_XENOBIOTIC_METABOLISM",0.965643964409385
