feature_set,model,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc_ovr,std_roc_auc_ovr
Network_Weighted_Hallmark_V3D,ElasticNet,0.7819648957702594,0.04102984016101978,0.7649999490269563,0.04444203139417571,0.9755881858271058,0.009115024610720184
Unweighted_Hallmark,ElasticNet,0.7816139278364991,0.0406590277029439,0.7656506720593057,0.0391420567395684,0.9752971395859069,0.008833022354167185
Network_Weighted_Hallmark,Logistic,0.781432398389168,0.04134085256914123,0.7734228695599237,0.05167849632522488,0.9747975468928498,0.005314644764084545
Network_Weighted_Hallmark,ElasticNet,0.7755170034675123,0.04054055671216994,0.7660910700325017,0.055658891146263066,0.9750261949574073,0.005406136735335068
Network_Weighted_Hallmark_V3D,Logistic,0.7737910407837578,0.03938587623537538,0.7550339241533855,0.04496416799465809,0.9747911221549186,0.010091529766698647
Network_Weighted_Hallmark_V3B,ElasticNet,0.7726581717124865,0.0217347495780895,0.7530322469085573,0.018349211523497444,0.9701406727255384,0.009702621273956052
Network_Weighted_Hallmark_V3C,ElasticNet,0.7726455005320955,0.029920057430718135,0.7654200959312679,0.0327455076939021,0.9730906458114932,0.009341892791712743
Network_Weighted_Hallmark_V3C,Logistic,0.7725001754082241,0.03580066743171119,0.7629057336970106,0.03904046863848227,0.9704778645916473,0.0100977790757328
Network_Weighted_Hallmark_V2,ElasticNet,0.7678725645678063,0.045175895644501286,0.7591153592090653,0.052981090848719825,0.971661561143639,0.009630497764339593
Network_Weighted_Hallmark_V3A,ElasticNet,0.7678489337996849,0.04642768454561286,0.7589929601882573,0.05474516607073876,0.9713944681647696,0.009814556062723414
Unweighted_Hallmark,Logistic,0.7673072715932046,0.03724102835665637,0.7521605748473401,0.04578150812818318,0.9752739836182774,0.00844241592709458
Network_Weighted_Hallmark_V2,Logistic,0.7662643671805031,0.04722364388105756,0.7646639342894911,0.06280612656319887,0.9705411014584809,0.009795802440372266
Network_Weighted_Hallmark_V3A,Logistic,0.7662643671805031,0.04722364388105756,0.7646639342894911,0.06280612656319887,0.970636996234909,0.009699796102897212
Network_Weighted_Hallmark_V3B,Logistic,0.7659624120740424,0.020271708004710093,0.7529492139927724,0.018384505169552128,0.9694353235802181,0.008942843130537238
Network_Weighted_Hallmark_V3B,SVM_RBF,0.7315411805304979,0.05051942883053974,0.7172409969875511,0.05349729387731536,0.9627283478639344,0.008383770876048401
Network_Weighted_Hallmark_V3C,SVM_RBF,0.7259473377131652,0.02935834184474568,0.7090829545447305,0.02987528875384039,0.9676604199424451,0.006811766720010375
Network_Weighted_Hallmark_V3D,SVM_RBF,0.7234950319884298,0.038713652408603874,0.6995853841053423,0.03688594983910684,0.9676306008731809,0.007095855574317189
Network_Weighted_Hallmark_V3A,SVM_RBF,0.7220307688460319,0.049868112591760945,0.7029110870250608,0.0469566230699779,0.9646664692898866,0.00958737865521338
Network_Weighted_Hallmark_V2,SVM_RBF,0.7204848474180704,0.05084199486811202,0.7016268721660364,0.04807049151771635,0.9646435160331007,0.009635480324048975
Unweighted_Hallmark,SVM_RBF,0.7139974519195982,0.03340728918324143,0.6956442972430477,0.03108741732876305,0.9667540088742216,0.010685631618246766
Network_Weighted_Hallmark,RandomForest,0.7122367642929781,0.025732698768814052,0.7218605014635345,0.03373072724018754,0.9532606493724243,0.006168350365984557
Network_Weighted_Hallmark,SVM_RBF,0.7114796920145996,0.012567368735716795,0.6937784906731205,0.027253697010037353,0.9667584184277332,0.006881084378878886
Network_Weighted_Hallmark_V3C,RandomForest,0.7102265276820342,0.05313126942215659,0.721101699504988,0.047586755491817734,0.9506309033942264,0.009680642870406661
Network_Weighted_Hallmark,XGBoost,0.7072888064979457,0.03173820168916989,0.6792436343212392,0.030425974909617945,0.9606996101450511,0.008262460034921015
Network_Weighted_Hallmark_V3D,RandomForest,0.7046816169001691,0.028495047815769482,0.7095087588776361,0.03808281138851309,0.9461229349469784,0.00956277740251811
Network_Weighted_Hallmark_V3D,XGBoost,0.7037141268750167,0.01987054955127826,0.6764928353622246,0.021518845951205966,0.9563859244436499,0.006920928072945158
Network_Weighted_Hallmark_V3C,XGBoost,0.7017240217860963,0.033610822559914044,0.6773550988422341,0.03148527464347785,0.9543245101936433,0.011284207996728695
Network_Weighted_Hallmark_V3A,RandomForest,0.701000532392311,0.023073729065932334,0.7115350611708381,0.0211350471151214,0.9417469533892792,0.011466120614378492
Network_Weighted_Hallmark_V2,RandomForest,0.6951659489566542,0.031256794187890236,0.7072555884556946,0.034853580237804375,0.9402507035918883,0.014995431729366432
Network_Weighted_Hallmark_V3B,RandomForest,0.690292270953365,0.011170061716824345,0.7067761758308186,0.0205215642772313,0.946091583359923,0.01152695247813752
Network_Weighted_Hallmark_V3B,XGBoost,0.6745898405026213,0.024032593326336574,0.6568730026024634,0.027349586283560885,0.9512473660529499,0.015335311246328325
Network_Weighted_Hallmark_V3A,XGBoost,0.6702914137559632,0.03886980258301864,0.6513889578022555,0.02914971846704157,0.9511321398484569,0.0035502559870670934
Unweighted_Hallmark,RandomForest,0.668117061799258,0.025508511725655218,0.6818598567703816,0.03343485239421451,0.9353925209445718,0.007593085123954242
Network_Weighted_Hallmark_V2,XGBoost,0.6598202683656382,0.03086987119099006,0.6445564137498163,0.024068507600704347,0.9529158650925815,0.0036781172617781866
Unweighted_Hallmark,XGBoost,0.6386684672538736,0.06278717722698701,0.6289866954274341,0.05754476360443664,0.9434698903421153,0.010835604888551807
Network_Weighted_Hallmark,PLS_DA,0.6232454965550953,0.022004167265513717,0.609280750371857,0.01837862101081798,0.94812932673276,0.01264736576638866
Unweighted_Hallmark,PLS_DA,0.6223419608129044,0.04315851719949964,0.6084202377869311,0.04428133706564213,0.944141612081793,0.011204363423473517
Network_Weighted_Hallmark_V2,PLS_DA,0.610775134717353,0.03718369055036256,0.5961665134675705,0.035133059352649765,0.9443019589566555,0.015603072197803764
Network_Weighted_Hallmark_V3A,PLS_DA,0.610775134717353,0.03718369055036256,0.5961665134675705,0.035133059352649765,0.9442970090677537,0.015720488604825927
Network_Weighted_Hallmark_V3D,PLS_DA,0.6013655623012111,0.03311089972245691,0.5894473100047862,0.028502228075897043,0.9422633265637554,0.017226855873350794
Network_Weighted_Hallmark_V3B,PLS_DA,0.5963931789962484,0.04590161691264215,0.5863912502859269,0.04384410762114031,0.946724698083294,0.015287833825894687
Network_Weighted_Hallmark_V3C,PLS_DA,0.5888428958065944,0.04209490186180355,0.5745029385380362,0.03722183274029547,0.9460257926869527,0.010899441621671559
