subtype,rank,feature,mean_abs_shap
Basal,1,HALLMARK_ESTROGEN_RESPONSE_EARLY,3.5713834938458535
Basal,2,HALLMARK_COMPLEMENT,1.9798761321677405
Basal,3,HALLMARK_GLYCOLYSIS,1.9502086731416755
Basal,4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.7557697635864356
Basal,5,HALLMARK_NOTCH_SIGNALING,1.6952172598353719
Basal,6,HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.6100881882253408
Basal,7,HALLMARK_BILE_ACID_METABOLISM,1.5709749436385647
Basal,8,HALLMARK_ANDROGEN_RESPONSE,1.4353183368359799
Basal,9,HALLMARK_KRAS_SIGNALING_DN,1.3504163417163084
Basal,10,HALLMARK_P53_PATHWAY,1.2342516720235286
Her2,1,HALLMARK_APOPTOSIS,3.946112953772903
Her2,2,HALLMARK_UV_RESPONSE_DN,2.2234627044119475
Her2,3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.9528908227959096
Her2,4,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.8997277860181905
Her2,5,HALLMARK_HEME_METABOLISM,1.5811582534011317
Her2,6,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.5369435059471097
Her2,7,HALLMARK_ANGIOGENESIS,1.5157910338983511
Her2,8,HALLMARK_COMPLEMENT,1.4330365908266247
Her2,9,HALLMARK_TGF_BETA_SIGNALING,1.2146757171271139
Her2,10,HALLMARK_PANCREAS_BETA_CELLS,1.1208309934352167
LumA,1,HALLMARK_ESTROGEN_RESPONSE_EARLY,3.74722573646419
LumA,2,HALLMARK_UV_RESPONSE_DN,2.0121076098538877
LumA,3,HALLMARK_G2M_CHECKPOINT,1.6290522846124877
LumA,4,HALLMARK_APICAL_JUNCTION,1.5818262165836292
LumA,5,HALLMARK_SPERMATOGENESIS,1.5173193922303652
LumA,6,HALLMARK_ANGIOGENESIS,1.2893715860418768
LumA,7,HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.1389966934433502
LumA,8,HALLMARK_COAGULATION,1.1239122227784375
LumA,9,HALLMARK_MTORC1_SIGNALING,1.0591397187561205
LumA,10,HALLMARK_GLYCOLYSIS,0.974207097487271
LumB,1,HALLMARK_ESTROGEN_RESPONSE_EARLY,2.865910114941244
LumB,2,HALLMARK_APICAL_JUNCTION,2.058021524987129
LumB,3,HALLMARK_MTORC1_SIGNALING,2.017154697385979
LumB,4,HALLMARK_DNA_REPAIR,1.9199839680636706
LumB,5,HALLMARK_MYC_TARGETS_V1,1.8166825161063058
LumB,6,HALLMARK_UV_RESPONSE_DN,1.7550347012913314
LumB,7,HALLMARK_GLYCOLYSIS,1.7439273855762507
LumB,8,HALLMARK_MITOTIC_SPINDLE,1.5810787402977675
LumB,9,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.434164452530625
LumB,10,HALLMARK_ANGIOGENESIS,1.2845282378187235
Normal,1,HALLMARK_APICAL_JUNCTION,3.7098650013342187
Normal,2,HALLMARK_MITOTIC_SPINDLE,2.1572597460937195
Normal,3,HALLMARK_UV_RESPONSE_UP,1.8109376897501737
Normal,4,HALLMARK_MTORC1_SIGNALING,1.7513094598306542
Normal,5,HALLMARK_HYPOXIA,1.6739432354057755
Normal,6,HALLMARK_UV_RESPONSE_DN,1.5479711313419817
Normal,7,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.4081188303731562
Normal,8,HALLMARK_APOPTOSIS,1.3947532072259714
Normal,9,HALLMARK_COMPLEMENT,1.3664056280800616
Normal,10,HALLMARK_FATTY_ACID_METABOLISM,1.3585335697672756
